"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","IC"
"1","black",TRUE,0.0400769758418092,4723,438,157,0.358447488584475,0.0332415837391488,"GO:0032991","GO:CC","protein-containing complex",16963,1590,"GO:0005575",NA
"2","black",TRUE,0.0493230536613845,4850,438,160,0.365296803652968,0.0329896907216495,"GO:0005829","GO:CC","cytosol",16963,487,"c(""GO:0005737"", ""GO:0110165"")",NA
"3","brown",TRUE,0.0287825435276605,9937,322,221,0.686335403726708,0.0222401127100735,"GO:0005737","GO:CC","cytoplasm",16963,402,"c(""GO:0005622"", ""GO:0110165"")",NA
"4","brown",TRUE,0.0357288572031778,11572,321,258,0.803738317757009,0.0222951952989976,"GO:0005515","GO:MF","protein binding",16268,1897,"GO:0005488",NA
"5","darkgreen",TRUE,0.00612429791938114,12994,486,409,0.84156378600823,0.0314760658765584,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"6","darkgreen",TRUE,0.0112561452553465,9937,486,327,0.672839506172839,0.0329073160913757,"GO:0005737","GO:CC","cytoplasm",16963,402,"c(""GO:0005622"", ""GO:0110165"")",NA
"7","darkgreen",TRUE,0.0414405494038193,213,486,17,0.0349794238683128,0.07981220657277,"GO:0005840","GO:CC","ribosome",16963,497,"GO:0043232",NA
"8","darkgreen",TRUE,0.0177237981935645,134,232,13,0.0560344827586207,0.0970149253731343,"KEGG:03010","KEGG","Ribosome",7747,203,"KEGG:00000",NA
"9","darkgreen",TRUE,0.00644737764035071,203,324,19,0.058641975308642,0.0935960591133005,"REAC:R-HSA-72312","REAC","rRNA processing",10588,2409,"REAC:R-HSA-8953854",NA
"10","darkgreen",TRUE,0.0113766351324608,193,324,18,0.0555555555555556,0.0932642487046632,"REAC:R-HSA-8868773","REAC","rRNA processing in the nucleus and cytosol",10588,2411,"REAC:R-HSA-72312",NA
"11","darkgreen",TRUE,0.0123434609741369,94,324,12,0.037037037037037,0.127659574468085,"REAC:R-HSA-156842","REAC","Eukaryotic Translation Elongation",10588,780,"REAC:R-HSA-72766",NA
"12","darkgreen",TRUE,0.0200655939691062,183,324,17,0.0524691358024691,0.092896174863388,"REAC:R-HSA-6791226","REAC","Major pathway of rRNA processing in the nucleolus and cytosol",10588,1247,"REAC:R-HSA-8868773",NA
"13","darkgreen",TRUE,0.0280586399894502,102,324,12,0.037037037037037,0.117647058823529,"REAC:R-HSA-9633012","REAC","Response of EIF2AK4 (GCN2) to amino acid deficiency",10588,1844,"REAC:R-HSA-2262752",NA
"14","darkgreen",TRUE,0.0398995309470294,90,324,11,0.0339506172839506,0.122222222222222,"REAC:R-HSA-192823","REAC","Viral mRNA Translation",10588,2341,"REAC:R-HSA-168273",NA
"15","darkgreen",TRUE,0.0398995309470294,90,324,11,0.0339506172839506,0.122222222222222,"REAC:R-HSA-156902","REAC","Peptide chain elongation",10588,1544,"REAC:R-HSA-156842",NA
"16","darkgrey",TRUE,0.00141932043018571,2822,410,112,0.273170731707317,0.0396881644223955,"GO:0006793","GO:BP","phosphorus metabolic process",15979,2783,"GO:0044237",NA
"17","darkgrey",TRUE,0.00160811358746272,2796,410,111,0.270731707317073,0.0396995708154506,"GO:0006796","GO:BP","phosphate-containing compound metabolic process",15979,2786,"GO:0006793",NA
"18","darkgrey",TRUE,0.0297130882113216,176,410,16,0.0390243902439024,0.0909090909090909,"GO:0048511","GO:BP","rhythmic process",15979,15050,"GO:0008150",NA
"19","darkgrey",TRUE,0.000616808482300453,12994,440,376,0.854545454545454,0.0289364321994767,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"20","darkgrey",TRUE,0.00236397416716353,9588,440,293,0.665909090909091,0.0305590321234877,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16963,2153,"c(""GO:0043227"", ""GO:0043229"")",NA
"21","darkgrey",TRUE,0.00767226403052411,11333,440,333,0.756818181818182,0.0293832171534457,"GO:0043227","GO:CC","membrane-bounded organelle",16963,2149,"GO:0043226",NA
"22","darkgrey",TRUE,0.00876678980548256,6463,440,209,0.475,0.0323379235649079,"GO:0005634","GO:CC","nucleus",16963,310,"GO:0043231",NA
"23","darkgrey",TRUE,0.00106632181434925,75,187,10,0.053475935828877,0.133333333333333,"KEGG:05214","KEGG","Glioma",7747,435,"KEGG:00000",NA
"24","darkgrey",TRUE,0.0331549929759506,73,187,8,0.0427807486631016,0.10958904109589,"KEGG:04115","KEGG","p53 signaling pathway",7747,247,"KEGG:00000",NA
