"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","IC"
"1","black",TRUE,0.000166562790037408,2822,386,110,0.284974093264249,0.038979447200567,"GO:0006793","GO:BP","phosphorus metabolic process",15979,2783,"GO:0044237",NA
"2","black",TRUE,0.000195357958215912,2796,386,109,0.282383419689119,0.0389842632331903,"GO:0006796","GO:BP","phosphate-containing compound metabolic process",15979,2786,"GO:0006793",NA
"3","black",TRUE,0.00226568483688698,5033,386,166,0.430051813471503,0.0329823167097159,"GO:1901576","GO:BP","organic substance biosynthetic process",15979,25018,"c(""GO:0009058"", ""GO:0071704"")",NA
"4","black",TRUE,0.00291272009891894,5090,386,167,0.432642487046632,0.0328094302554027,"GO:0009058","GO:BP","biosynthetic process",15979,3696,"GO:0008152",NA
"5","black",TRUE,0.00410437528443681,9975,386,284,0.735751295336788,0.0284711779448622,"GO:0008152","GO:BP","metabolic process",15979,3566,"GO:0008150",NA
"6","black",TRUE,0.00425152026304761,9269,386,268,0.694300518134715,0.0289135829107779,"GO:0044237","GO:BP","cellular metabolic process",15979,12812,"c(""GO:0008152"", ""GO:0009987"")",NA
"7","black",TRUE,0.00485429391345701,4936,386,162,0.419689119170984,0.0328200972447326,"GO:0044249","GO:BP","cellular biosynthetic process",15979,12820,"c(""GO:0009058"", ""GO:0044237"")",NA
"8","black",TRUE,0.00837613212699224,1682,386,70,0.181347150259067,0.0416171224732461,"GO:0006468","GO:BP","protein phosphorylation",15979,2480,"c(""GO:0006464"", ""GO:0016310"")",NA
"9","black",TRUE,0.0120384308350974,8837,386,256,0.663212435233161,0.0289691071630644,"GO:0044238","GO:BP","primary metabolic process",15979,12813,"GO:0008152",NA
"10","black",TRUE,0.013714787500178,2004,386,79,0.204663212435233,0.0394211576846307,"GO:0016310","GO:BP","phosphorylation",15979,5827,"GO:0006796",NA
"11","black",TRUE,0.0189174415271732,3942,386,133,0.344559585492228,0.0337392186707255,"GO:0034645","GO:BP","cellular macromolecule biosynthetic process",15979,10073,"c(""GO:0009059"", ""GO:0044249"", ""GO:0044260"")",NA
"12","black",TRUE,0.0257708926519329,9513,386,270,0.699481865284974,0.0283822138126774,"GO:0071704","GO:BP","organic substance metabolic process",15979,19961,"GO:0008152",NA
