"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","IC"
"1","blue",TRUE,0.0499660364518892,21,75,3,0.04,0.142857142857143,"GO:0019200","GO:MF","carbohydrate kinase activity",16268,4558,"GO:0016301",NA
"2","blue",TRUE,0.035567459565001,33,37,3,0.0810810810810811,0.0909090909090909,"KEGG:00051","KEGG","Fructose and mannose metabolism",7747,6,"KEGG:00000",NA
"3","brown",TRUE,0.000485924048403349,4850,233,100,0.429184549356223,0.0206185567010309,"GO:0005829","GO:CC","cytosol",16963,487,"c(""GO:0005737"", ""GO:0110165"")",NA
"4","brown",TRUE,0.00635730594333409,1318,233,37,0.158798283261803,0.0280728376327769,"GO:0005739","GO:CC","mitochondrion",16963,403,"c(""GO:0005737"", ""GO:0043231"")",NA
"5","brown",TRUE,0.00952490312851034,12994,233,203,0.871244635193133,0.0156225950438664,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"6","brown",TRUE,0.00993142186667893,9937,233,166,0.71244635193133,0.0167052430310959,"GO:0005737","GO:CC","cytoplasm",16963,402,"c(""GO:0005622"", ""GO:0110165"")",NA
"7","brown",TRUE,0.0195028733379099,11572,232,191,0.823275862068966,0.0165053577601106,"GO:0005515","GO:MF","protein binding",16268,1897,"GO:0005488",NA
"8","brown",TRUE,0.028714099332327,119,113,8,0.0707964601769911,0.0672268907563025,"KEGG:04722","KEGG","Neurotrophin signaling pathway",7747,328,"KEGG:00000",NA
"9","brown",TRUE,0.015182578081256,45,152,6,0.0394736842105263,0.133333333333333,"REAC:R-HSA-6802946","REAC","Signaling by moderate kinase activity BRAF mutants",10588,2035,"REAC:R-HSA-6802957",NA
"10","brown",TRUE,0.015182578081256,45,152,6,0.0394736842105263,0.133333333333333,"REAC:R-HSA-9649948","REAC","Signaling downstream of RAS mutants",10588,2039,"REAC:R-HSA-6802949",NA
"11","brown",TRUE,0.015182578081256,45,152,6,0.0394736842105263,0.133333333333333,"REAC:R-HSA-6802955","REAC","Paradoxical activation of RAF signaling by kinase inactive BRAF",10588,1537,"REAC:R-HSA-6802957",NA
"12","brown",TRUE,0.015182578081256,45,152,6,0.0394736842105263,0.133333333333333,"REAC:R-HSA-6802949","REAC","Signaling by RAS mutants",10588,2013,"REAC:R-HSA-6802957",NA
"13","brown2",TRUE,0.0367909709504649,4850,43,24,0.558139534883721,0.00494845360824742,"GO:0005829","GO:CC","cytosol",16963,487,"c(""GO:0005737"", ""GO:0110165"")",NA
"14","brown4",TRUE,0.00894355932476747,22,43,3,0.0697674418604651,0.136363636363636,"GO:0030551","GO:MF","cyclic nucleotide binding",16268,4921,"GO:0000166",NA
"15","coral2",TRUE,7.64820909301207e-05,12994,182,166,0.912087912087912,0.0127751269816839,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"16","coral2",TRUE,0.0239653219650896,11093,182,143,0.785714285714286,0.0128910123501307,"GO:0043229","GO:CC","intracellular organelle",16963,2151,"c(""GO:0005622"", ""GO:0043226"")",NA
"17","coral2",TRUE,0.0076170254923957,68,85,6,0.0705882352941176,0.0882352941176471,"KEGG:05211","KEGG","Renal cell carcinoma",7747,432,"KEGG:00000",NA
"18","darkgreen",TRUE,0.000757934449876465,7,76,3,0.0394736842105263,0.428571428571429,"GO:0008541","GO:CC","proteasome regulatory particle, lid subcomplex",16963,645,"c(""GO:0005838"", ""GO:0032991"")",NA
"19","darkgreen",TRUE,0.0275290274219531,21,76,3,0.0394736842105263,0.142857142857143,"GO:0022624","GO:CC","proteasome accessory complex",16963,1032,"c(""GO:0000502"", ""GO:0032991"")",NA
"20","darkgreen",TRUE,0.0275290274219531,21,76,3,0.0394736842105263,0.142857142857143,"GO:0005838","GO:CC","proteasome regulatory particle",16963,495,"c(""GO:0022624"", ""GO:0032991"")",NA
"21","darkgrey",TRUE,0.0165449735510149,2,50,2,0.04,1,"GO:0006427","GO:BP","histidyl-tRNA aminoacylation",15979,2450,"GO:0006418",NA
"22","darkgrey",TRUE,0.0050103354157161,2,55,2,0.0363636363636364,1,"GO:0004821","GO:MF","histidine-tRNA ligase activity",16268,1393,"GO:0004812",NA
"23","darkgrey",TRUE,0.0378858614463369,190,44,6,0.136363636363636,0.0315789473684211,"REAC:R-HSA-202733","REAC","Cell surface interactions at the vascular wall",10588,303,"REAC:R-HSA-109582",NA
"24","darkmagenta",TRUE,0.0268004543769107,20,46,3,0.0652173913043478,0.15,"REAC:R-HSA-5621575","REAC","CD209 (DC-SIGN) signaling",10588,245,"REAC:R-HSA-5621481",NA
"25","darkorange2",TRUE,4.45514743199085e-05,12994,305,269,0.881967213114754,0.0207018623980299,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"26","darkorange2",TRUE,0.00827466899948372,11093,305,232,0.760655737704918,0.0209140899666456,"GO:0043229","GO:CC","intracellular organelle",16963,2151,"c(""GO:0005622"", ""GO:0043226"")",NA
"27","darkorange2",TRUE,0.0119379188508939,9937,305,212,0.695081967213115,0.0213344067626044,"GO:0005737","GO:CC","cytoplasm",16963,402,"c(""GO:0005622"", ""GO:0110165"")",NA
"28","darkorange2",TRUE,0.0299870609835905,12231,305,248,0.813114754098361,0.0202763469871638,"GO:0043226","GO:CC","organelle",16963,2148,"GO:0110165",NA
"29","darkseagreen3",TRUE,0.00926747565160542,2,103,2,0.0194174757281553,1,"GO:0098888","GO:CC","extrinsic component of presynaptic membrane",16963,3701,"c(""GO:0042734"", ""GO:0099243"")",NA
"30","darkseagreen3",TRUE,0.00926747565160542,2,103,2,0.0194174757281553,1,"GO:0098833","GO:CC","presynaptic endocytic zone",16963,3676,"c(""GO:0098793"", ""GO:0110165"")",NA
"31","darkseagreen3",TRUE,0.00926747565160542,2,103,2,0.0194174757281553,1,"GO:0098835","GO:CC","presynaptic endocytic zone membrane",16963,3678,"c(""GO:0042734"", ""GO:0097060"", ""GO:0098833"")",NA
"32","darkseagreen3",TRUE,0.00926747565160542,2,103,2,0.0194174757281553,1,"GO:0098894","GO:CC","extrinsic component of presynaptic endocytic zone membrane",16963,3707,"c(""GO:0098835"", ""GO:0098888"")",NA
"33","darkturquoise",TRUE,0.00848437600313263,2560,222,62,0.279279279279279,0.02421875,"GO:0033036","GO:BP","macromolecule localization",15979,9271,"GO:0051179",NA
"34","darkturquoise",TRUE,0.0272468253296776,5033,222,100,0.45045045045045,0.0198688654877806,"GO:1901576","GO:BP","organic substance biosynthetic process",15979,25018,"c(""GO:0009058"", ""GO:0071704"")",NA
"35","darkturquoise",TRUE,0.0337488327560915,1037,222,32,0.144144144144144,0.0308582449373192,"GO:0006886","GO:BP","intracellular protein transport",15979,2863,"c(""GO:0015031"", ""GO:0034613"", ""GO:0046907"")",NA
"36","darkturquoise",TRUE,0.0375990564562486,4936,222,98,0.441441441441441,0.0198541329011345,"GO:0044249","GO:BP","cellular biosynthetic process",15979,12820,"c(""GO:0009058"", ""GO:0044237"")",NA
"37","darkturquoise",TRUE,0.0456461563895668,5090,222,100,0.45045045045045,0.0196463654223969,"GO:0009058","GO:BP","biosynthetic process",15979,3696,"GO:0008152",NA
"38","darkturquoise",TRUE,0.00245788278023591,9937,231,167,0.722943722943723,0.0168058770252591,"GO:0005737","GO:CC","cytoplasm",16963,402,"c(""GO:0005622"", ""GO:0110165"")",NA
"39","darkturquoise",TRUE,0.00350388311074474,9588,231,162,0.701298701298701,0.0168961201501877,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16963,2153,"c(""GO:0043227"", ""GO:0043229"")",NA
"40","darkturquoise",TRUE,0.00721629422598377,4850,231,95,0.411255411255411,0.0195876288659794,"GO:0005829","GO:CC","cytosol",16963,487,"c(""GO:0005737"", ""GO:0110165"")",NA
"41","darkturquoise",TRUE,0.0107695401214918,11093,231,179,0.774891774891775,0.0161363021725412,"GO:0043229","GO:CC","intracellular organelle",16963,2151,"c(""GO:0005622"", ""GO:0043226"")",NA
"42","darkturquoise",TRUE,0.011629665492929,4639,231,91,0.393939393939394,0.0196162966156499,"GO:0031981","GO:CC","nuclear lumen",16963,1472,"c(""GO:0005634"", ""GO:0070013"")",NA
"43","darkturquoise",TRUE,0.0127543189414933,3932,231,80,0.346320346320346,0.0203458799593082,"GO:0005654","GO:CC","nucleoplasm",16963,327,"c(""GO:0031981"", ""GO:0110165"")",NA
"44","darkturquoise",TRUE,0.0260622958331996,5682,231,105,0.454545454545455,0.0184794086589229,"GO:0031974","GO:CC","membrane-enclosed lumen",16963,1466,"GO:0110165",NA
"45","darkturquoise",TRUE,0.0260622958331996,5682,231,105,0.454545454545455,0.0184794086589229,"GO:0043233","GO:CC","organelle lumen",16963,2155,"c(""GO:0031974"", ""GO:0043226"")",NA
"46","darkturquoise",TRUE,0.0260622958331996,5682,231,105,0.454545454545455,0.0184794086589229,"GO:0070013","GO:CC","intracellular organelle lumen",16963,2747,"c(""GO:0043229"", ""GO:0043233"")",NA
"47","darkturquoise",TRUE,0.0261390979255541,12994,231,200,0.865800865800866,0.0153917192550408,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"48","darkturquoise",TRUE,0.0346591554585678,3785,231,76,0.329004329004329,0.0200792602377807,"GO:0012505","GO:CC","endomembrane system",16963,835,"GO:0110165",NA
"49","darkturquoise",TRUE,0.00976129938723155,134,109,9,0.0825688073394495,0.0671641791044776,"KEGG:03010","KEGG","Ribosome",7747,203,"KEGG:00000",NA
"50","darkturquoise",TRUE,0.00652182290409856,662,159,25,0.157232704402516,0.0377643504531722,"REAC:R-HSA-8953854","REAC","Metabolism of RNA",10588,1265,"REAC:0000000",NA
"51","darkturquoise",TRUE,0.00841089612668604,102,159,9,0.0566037735849057,0.0882352941176471,"REAC:R-HSA-9633012","REAC","Response of EIF2AK4 (GCN2) to amino acid deficiency",10588,1844,"REAC:R-HSA-2262752",NA
"52","darkturquoise",TRUE,0.0190509699382746,113,159,9,0.0566037735849057,0.079646017699115,"REAC:R-HSA-1799339","REAC","SRP-dependent cotranslational protein targeting to membrane",10588,1898,"REAC:R-HSA-72766",NA
"53","darkturquoise",TRUE,0.0399774556077476,217,159,12,0.0754716981132075,0.0552995391705069,"REAC:R-HSA-376176","REAC","Signaling by ROBO receptors",10588,2014,"REAC:R-HSA-422475",NA
"54","firebrick4",TRUE,0.0348831623431508,1608,173,36,0.208092485549133,0.0223880597014925,"GO:0046907","GO:BP","intracellular transport",15979,14653,"c(""GO:0006810"", ""GO:0051641"", ""GO:0051649"")",NA
"55","firebrick4",TRUE,0.0354293768879227,1676,173,37,0.213872832369942,0.0220763723150358,"GO:0034613","GO:BP","cellular protein localization",15979,10050,"c(""GO:0008104"", ""GO:0070727"")",NA
"56","firebrick4",TRUE,0.0404055404764031,1686,173,37,0.213872832369942,0.0219454329774614,"GO:0070727","GO:BP","cellular macromolecule localization",15979,19296,"c(""GO:0033036"", ""GO:0051641"")",NA
"57","firebrick4",TRUE,0.0120988011849494,12994,182,161,0.884615384615385,0.0123903340003078,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"58","firebrick4",TRUE,0.023038487945858,1583,182,34,0.186813186813187,0.0214782059380922,"GO:0098588","GO:CC","bounding membrane of organelle",16963,3614,"GO:0031090",NA
"59","firebrick4",TRUE,0.0390836076249208,9937,182,131,0.71978021978022,0.0131830532353829,"GO:0005737","GO:CC","cytoplasm",16963,402,"c(""GO:0005622"", ""GO:0110165"")",NA
"60","firebrick4",TRUE,0.0474809035372072,1304,182,29,0.159340659340659,0.022239263803681,"GO:0098805","GO:CC","whole membrane",16963,3668,"GO:0016020",NA
"61","floralwhite",TRUE,9.16504229988789e-06,12231,217,190,0.875576036866359,0.0155342980950045,"GO:0043226","GO:CC","organelle",16963,2148,"GO:0110165",NA
"62","floralwhite",TRUE,0.000294984452227049,12994,217,194,0.894009216589862,0.0149299676773896,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"63","floralwhite",TRUE,0.00072513803751641,11093,217,173,0.797235023041475,0.0155954205354728,"GO:0043229","GO:CC","intracellular organelle",16963,2151,"c(""GO:0005622"", ""GO:0043226"")",NA
"64","floralwhite",TRUE,0.00249154821418819,11333,217,174,0.80184331797235,0.0153533927468455,"GO:0043227","GO:CC","membrane-bounded organelle",16963,2149,"GO:0043226",NA
"65","floralwhite",TRUE,0.0162935243537423,4850,217,89,0.410138248847926,0.0183505154639175,"GO:0005829","GO:CC","cytosol",16963,487,"c(""GO:0005737"", ""GO:0110165"")",NA
"66","floralwhite",TRUE,0.00841104280642699,568,214,21,0.0981308411214953,0.0369718309859155,"GO:0005198","GO:MF","structural molecule activity",16268,1712,"GO:0003674",NA
"67","floralwhite",TRUE,0.0444561563921231,166,108,9,0.0833333333333333,0.0542168674698795,"KEGG:04141","KEGG","Protein processing in endoplasmic reticulum",7747,256,"KEGG:00000",NA
"68","floralwhite",TRUE,0.0459999162278074,292,139,13,0.0935251798561151,0.0445205479452055,"REAC:R-HSA-72766","REAC","Translation",10588,2264,"REAC:R-HSA-392499",NA
"69","green",TRUE,0.0193294676230734,4850,103,48,0.466019417475728,0.00989690721649484,"GO:0005829","GO:CC","cytosol",16963,487,"c(""GO:0005737"", ""GO:0110165"")",NA
"70","greenyellow",TRUE,0.000963708027839379,11333,240,192,0.8,0.0169416747551399,"GO:0043227","GO:CC","membrane-bounded organelle",16963,2149,"GO:0043226",NA
"71","greenyellow",TRUE,0.00179603744654169,12231,240,202,0.841666666666667,0.0165154116588995,"GO:0043226","GO:CC","organelle",16963,2148,"GO:0110165",NA
"72","greenyellow",TRUE,0.00378217660913371,11093,240,187,0.779166666666667,0.0168574776886325,"GO:0043229","GO:CC","intracellular organelle",16963,2151,"c(""GO:0005622"", ""GO:0043226"")",NA
"73","greenyellow",TRUE,0.00652215199367007,300,240,15,0.0625,0.05,"GO:0031984","GO:CC","organelle subcompartment",16963,1475,"c(""GO:0043227"", ""GO:0043229"", ""GO:0110165"")",NA
"74","greenyellow",TRUE,0.0157310788601648,12994,240,208,0.866666666666667,0.0160073880252424,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"75","greenyellow",TRUE,0.0158131318238644,9588,240,165,0.6875,0.0172090112640801,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16963,2153,"c(""GO:0043227"", ""GO:0043229"")",NA
"76","greenyellow",TRUE,0.0180636306554383,91,234,8,0.0341880341880342,0.0879120879120879,"GO:0042826","GO:MF","histone deacetylase binding",16268,6753,"GO:0019899",NA
"77","greenyellow",TRUE,0.0434368202385192,31,167,5,0.029940119760479,0.161290322580645,"REAC:R-HSA-450282","REAC","MAPK targets/ Nuclear events mediated by MAP kinases",10588,1211,"REAC:R-HSA-450294",NA
"78","honeydew",TRUE,0.0488089706390379,2,81,2,0.0246913580246914,1,"GO:0039689","GO:BP","negative stranded viral RNA replication",15979,11506,"GO:0039694",NA
"79","honeydew",TRUE,0.0482207939220768,22,85,3,0.0352941176470588,0.136363636363636,"GO:0000421","GO:CC","autophagosome membrane",16963,88,"c(""GO:0005774"", ""GO:0005776"")",NA
"80","ivory",TRUE,0.0167054607773531,2,95,2,0.0210526315789474,1,"GO:0030617","GO:MF","obsolete transforming growth factor beta receptor, inhibitory cytoplasmic mediator activity",16268,4961,"character(0)",NA
"81","lavenderblush2",TRUE,0.0132686818630998,1799,204,45,0.220588235294118,0.0250138966092273,"GO:0033554","GO:BP","cellular response to stress",15979,9586,"c(""GO:0006950"", ""GO:0051716"")",NA
"82","lavenderblush3",TRUE,0.0121385631665921,12994,107,98,0.91588785046729,0.00754194243496999,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"83","lavenderblush3",TRUE,0.0338940936336462,303,107,9,0.0841121495327103,0.0297029702970297,"GO:0098852","GO:CC","lytic vacuole membrane",16963,3688,"GO:0005774",NA
"84","lavenderblush3",TRUE,0.0338940936336462,303,107,9,0.0841121495327103,0.0297029702970297,"GO:0005765","GO:CC","lysosomal membrane",16963,427,"c(""GO:0005764"", ""GO:0098852"")",NA
"85","lavenderblush3",TRUE,0.0405270488641532,9588,107,79,0.738317757009346,0.00823946599916562,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16963,2153,"c(""GO:0043227"", ""GO:0043229"")",NA
"86","lavenderblush3",TRUE,0.0292884986055866,32,77,4,0.051948051948052,0.125,"REAC:R-HSA-5357905","REAC","Regulation of TNFR1 signaling",10588,1779,"REAC:R-HSA-75893",NA
"87","lightcoral",TRUE,0.0300815310614046,77,36,4,0.111111111111111,0.051948051948052,"KEGG:05412","KEGG","Arrhythmogenic right ventricular cardiomyopathy (ARVC)",7747,460,"KEGG:00000",NA
"88","lightcyan",TRUE,0.0424022073919903,30,43,3,0.0697674418604651,0.1,"KEGG:00630","KEGG","Glyoxylate and dicarboxylate metabolism",7747,107,"KEGG:00000",NA
"89","lightcyan",TRUE,0.0424022073919903,30,43,3,0.0697674418604651,0.1,"KEGG:00020","KEGG","Citrate cycle (TCA cycle)",7747,3,"KEGG:00000",NA
"90","lightpink4",TRUE,0.0490085752257561,2,78,2,0.0256410256410256,1,"GO:0046060","GO:BP","dATP metabolic process",15979,13971,"c(""GO:0009151"", ""GO:0009215"")",NA
"91","lightpink4",TRUE,0.0490085752257561,2,78,2,0.0256410256410256,1,"GO:0046061","GO:BP","dATP catabolic process",15979,13972,"c(""GO:0009155"", ""GO:0009217"", ""GO:0046060"")",NA
"92","lightyellow",TRUE,0.0475507236304633,119,68,6,0.0882352941176471,0.0504201680672269,"KEGG:04152","KEGG","AMPK signaling pathway",7747,263,"KEGG:00000",NA
"93","magenta4",TRUE,9.64336229666943e-05,12994,206,186,0.902912621359223,0.0143142989071879,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"94","magenta4",TRUE,0.000797212262722477,11093,206,165,0.800970873786408,0.0148742450193816,"GO:0043229","GO:CC","intracellular organelle",16963,2151,"c(""GO:0005622"", ""GO:0043226"")",NA
"95","magenta4",TRUE,0.00657750207275095,12231,206,174,0.844660194174757,0.0142261466764778,"GO:0043226","GO:CC","organelle",16963,2148,"GO:0110165",NA
"96","magenta4",TRUE,0.0169079684188982,9588,206,144,0.699029126213592,0.0150187734668335,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16963,2153,"c(""GO:0043227"", ""GO:0043229"")",NA
"97","magenta4",TRUE,0.0380682810902047,190,206,10,0.0485436893203883,0.0526315789473684,"GO:0005770","GO:CC","late endosome",16963,432,"GO:0005768",NA
"98","magenta4",TRUE,0.00782329395013634,149,206,10,0.0485436893203883,0.0671140939597315,"GO:0019902","GO:MF","phosphatase binding",16268,4658,"GO:0019899",NA
"99","magenta4",TRUE,0.024397410902695,71,100,6,0.06,0.0845070422535211,"KEGG:04520","KEGG","Adherens junction",7747,293,"KEGG:00000",NA
"100","mediumpurple2",TRUE,4.9679176552473e-07,1608,237,57,0.240506329113924,0.0354477611940298,"GO:0046907","GO:BP","intracellular transport",15979,14653,"c(""GO:0006810"", ""GO:0051641"", ""GO:0051649"")",NA
"101","mediumpurple2",TRUE,0.000101885967737387,176,237,15,0.0632911392405063,0.0852272727272727,"GO:0019083","GO:BP","viral transcription",15979,6495,"c(""GO:0016032"", ""GO:0019080"")",NA
"102","mediumpurple2",TRUE,0.000308353525566845,2485,237,68,0.286919831223629,0.027364185110664,"GO:0051649","GO:BP","establishment of localization in cell",15979,16258,"c(""GO:0051234"", ""GO:0051641"")",NA
"103","mediumpurple2",TRUE,0.000343561200797736,193,237,15,0.0632911392405063,0.077720207253886,"GO:0019080","GO:BP","viral gene expression",15979,6492,"GO:0016032",NA
"104","mediumpurple2",TRUE,0.000651929463097618,3077,237,78,0.329113924050633,0.0253493662658434,"GO:0051641","GO:BP","cellular localization",15979,16250,"c(""GO:0009987"", ""GO:0051179"")",NA
"105","mediumpurple2",TRUE,0.000846913221608715,816,237,32,0.135021097046413,0.0392156862745098,"GO:0033365","GO:BP","protein localization to organelle",15979,9468,"GO:0034613",NA
"106","mediumpurple2",TRUE,0.00100734602696975,1037,237,37,0.156118143459916,0.0356798457087753,"GO:0006886","GO:BP","intracellular protein transport",15979,2863,"c(""GO:0015031"", ""GO:0034613"", ""GO:0046907"")",NA
"107","mediumpurple2",TRUE,0.00198516904501489,115,237,11,0.0464135021097046,0.0956521739130435,"GO:0000184","GO:BP","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",15979,79,"GO:0000956",NA
"108","mediumpurple2",TRUE,0.00297776411215872,464,237,22,0.0928270042194093,0.0474137931034483,"GO:0016032","GO:BP","viral process",15979,5689,"GO:0044403",NA
"109","mediumpurple2",TRUE,0.00571854801854861,521,237,23,0.0970464135021097,0.0441458733205374,"GO:0044403","GO:BP","symbiotic process",15979,12901,"GO:0044419",NA
