"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","IC"
"1","black",TRUE,4.12579158098439e-27,105,677,42,0.0620384047267356,0.4,"GO:0045047","GO:BP","protein targeting to ER",15979,13225,"c(""GO:0006605"", ""GO:0072599"")",NA
"2","black",TRUE,2.10756527855579e-26,91,677,39,0.0576070901033973,0.428571428571429,"GO:0006614","GO:BP","SRP-dependent cotranslational protein targeting to membrane",15979,2620,"c(""GO:0006613"", ""GO:0045047"")",NA
"3","black",TRUE,2.55390511056589e-26,109,677,42,0.0620384047267356,0.385321100917431,"GO:0072599","GO:BP","establishment of protein localization to endoplasmic reticulum",15979,20662,"c(""GO:0070972"", ""GO:0072594"")",NA
"4","black",TRUE,2.78089236264466e-25,178,677,51,0.0753323485967504,0.286516853932584,"GO:0006413","GO:BP","translational initiation",15979,2437,"c(""GO:0006412"", ""GO:0044237"")",NA
"5","black",TRUE,6.46472951450207e-25,98,677,39,0.0576070901033973,0.397959183673469,"GO:0006613","GO:BP","cotranslational protein targeting to membrane",15979,2619,"GO:0006612",NA
"6","black",TRUE,1.42175256699377e-24,132,677,44,0.0649926144756278,0.333333333333333,"GO:0070972","GO:BP","protein localization to endoplasmic reticulum",15979,19447,"GO:0033365",NA
"7","black",TRUE,1.53408656783217e-21,91,677,35,0.051698670605613,0.384615384615385,"GO:0042775","GO:BP","mitochondrial ATP synthesis coupled electron transport",15979,12064,"GO:0042773",NA
"8","black",TRUE,2.37898874112646e-21,92,677,35,0.051698670605613,0.380434782608696,"GO:0042773","GO:BP","ATP synthesis coupled electron transport",15979,12062,"c(""GO:0006119"", ""GO:0022904"")",NA
"9","black",TRUE,9.06838115773956e-21,115,677,38,0.0561299852289513,0.330434782608696,"GO:0000184","GO:BP","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",15979,79,"GO:0000956",NA
"10","black",TRUE,1.99329426214684e-19,103,677,35,0.051698670605613,0.339805825242718,"GO:0022904","GO:BP","respiratory electron transport chain",15979,7672,"c(""GO:0022900"", ""GO:0045333"")",NA
"11","black",TRUE,2.88655583060299e-19,104,677,35,0.051698670605613,0.336538461538462,"GO:0022900","GO:BP","electron transport chain",15979,7671,"c(""GO:0006091"", ""GO:0055114"")",NA
