"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","IC"
"1","black",TRUE,0.049944710218934,4,99,2,0.0202020202020202,0.5,"GO:0060342","GO:CC","photoreceptor inner segment membrane",16963,2626,"c(""GO:0001917"", ""GO:0098590"")",NA
"2","blue2",TRUE,0.00684216174480373,92,89,7,0.0786516853932584,0.0760869565217391,"KEGG:05222","KEGG","Small cell lung cancer",7747,443,"KEGG:00000",NA
"3","blue2",TRUE,0.0244585341687015,529,89,16,0.179775280898876,0.0302457466918715,"KEGG:05200","KEGG","Pathways in cancer",7747,425,"KEGG:00000",NA
"4","brown",TRUE,0.0151209083105721,12,109,3,0.0275229357798165,0.25,"GO:0071437","GO:CC","invadopodium",16963,3093,"GO:0120025",NA
"5","cyan",TRUE,0.0297104494529076,20,128,4,0.03125,0.2,"GO:0008045","GO:BP","motor neuron axon guidance",15979,3542,"GO:0007411",NA
"6","darkgrey",TRUE,0.0147264585405851,9937,141,105,0.74468085106383,0.010566569387139,"GO:0005737","GO:CC","cytoplasm",16963,402,"c(""GO:0005622"", ""GO:0110165"")",NA
"7","darkgrey",TRUE,0.0241150581993244,97,73,6,0.0821917808219178,0.0618556701030928,"KEGG:05215","KEGG","Prostate cancer",7747,436,"KEGG:00000",NA
"8","darkolivegreen",TRUE,0.0131649868987731,2,81,2,0.0246913580246914,1,"GO:0004775","GO:MF","succinate-CoA ligase (ADP-forming) activity",16268,1350,"GO:0004774",NA
"9","darkolivegreen",TRUE,0.0393670824269226,3,81,2,0.0246913580246914,0.666666666666667,"GO:0004774","GO:MF","succinate-CoA ligase activity",16268,1349,"GO:0016878",NA
"10","darkolivegreen4",TRUE,0.0497084572047738,3,127,2,0.015748031496063,0.666666666666667,"GO:0032444","GO:CC","activin responsive factor complex",16963,1551,"GO:0090575",NA
"11","darkorange2",TRUE,0.0170890777553263,2,74,2,0.027027027027027,1,"REAC:R-HSA-3642278","REAC","Loss of Function of TGFBR2 in Cancer",10588,1194,"REAC:R-HSA-3304351",NA
"12","darkorange2",TRUE,0.0170890777553263,2,74,2,0.027027027027027,1,"REAC:R-HSA-3645790","REAC","TGFBR2 Kinase Domain Mutants in Cancer",10588,2140,"REAC:R-HSA-3642278",NA
"13","darkseagreen4",TRUE,0.0369360346036916,137,57,6,0.105263157894737,0.0437956204379562,"KEGG:05418","KEGG","Fluid shear stress and atherosclerosis",7747,463,"KEGG:00000",NA
"14","darkviolet",TRUE,0.024401349725476,21,160,4,0.025,0.19047619047619,"GO:0045499","GO:MF","chemorepellent activity",16268,7269,"GO:0048018",NA
"15","darkviolet",TRUE,0.0295960954164813,22,160,4,0.025,0.181818181818182,"GO:0030215","GO:MF","semaphorin receptor binding",16268,4804,"GO:0005102",NA
"16","darkviolet",TRUE,0.0227595225802725,23,101,4,0.0396039603960396,0.173913043478261,"REAC:R-HSA-73980","REAC","RNA Polymerase III Transcription Termination",10588,1699,"REAC:R-HSA-74158",NA
"17","firebrick4",TRUE,0.016682514708087,2,129,2,0.0155038759689922,1,"GO:0032398","GO:CC","MHC class Ib protein complex",16963,1543,"GO:0042611",NA
"18","firebrick4",TRUE,0.0471123166043705,152,129,7,0.0542635658914729,0.0460526315789474,"GO:0005798","GO:CC","Golgi-associated vesicle",16963,459,"GO:0031410",NA
"19","green",TRUE,0.0480593834278032,11093,116,94,0.810344827586207,0.00847381231407194,"GO:0043229","GO:CC","intracellular organelle",16963,2151,"c(""GO:0005622"", ""GO:0043226"")",NA
"20","greenyellow",TRUE,0.00312804935644182,202,80,10,0.125,0.0495049504950495,"KEGG:05205","KEGG","Proteoglycans in cancer",7747,429,"KEGG:00000",NA
"21","grey60",TRUE,0.0187751293313087,108,89,7,0.0786516853932584,0.0648148148148148,"KEGG:04931","KEGG","Insulin resistance",7747,363,"KEGG:00000",NA
"22","ivory",TRUE,0.0384219676353216,612,153,18,0.117647058823529,0.0294117647058824,"GO:0043408","GO:BP","regulation of MAPK cascade",15979,12421,"c(""GO:0000165"", ""GO:0001932"", ""GO:1902531"")",NA
"23","ivory",TRUE,0.0431603731687704,447,153,15,0.0980392156862745,0.0335570469798658,"GO:0043410","GO:BP","positive regulation of MAPK cascade",15979,12423,"c(""GO:0000165"", ""GO:0001934"", ""GO:0043408"", ""GO:1902533"")",NA
"24","lavenderblush3",TRUE,0.0338506186231384,23,116,4,0.0344827586206897,0.173913043478261,"GO:0032509","GO:BP","endosome transport via multivesicular body sorting pathway",15979,8878,"c(""GO:0016197"", ""GO:0071985"")",NA
"25","lightgreen",TRUE,0.0498459246398459,2,152,2,0.0131578947368421,1,"GO:0004878","GO:MF","complement component C5a receptor activity",16268,1445,"c(""GO:0001847"", ""GO:0004875"")",NA
"26","lightsteelblue1",TRUE,0.000488178474005481,4,127,3,0.0236220472440945,0.75,"GO:0005594","GO:CC","collagen type IX trimer",16963,273,"GO:0005593",NA
"27","lightsteelblue1",TRUE,0.00420172165849691,7,127,3,0.0236220472440945,0.428571428571429,"GO:0005593","GO:CC","FACIT collagen trimer",16963,272,"GO:0005581",NA
"28","lightsteelblue1",TRUE,0.03529849626993,54,90,5,0.0555555555555556,0.0925925925925926,"REAC:R-HSA-186797","REAC","Signaling by PDGF",10588,2007,"REAC:R-HSA-9006934",NA
"29","magenta",TRUE,0.0245905550469024,121,107,7,0.0654205607476635,0.0578512396694215,"GO:0006414","GO:BP","translational elongation",15979,2438,"c(""GO:0006412"", ""GO:0034645"")",NA
