"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","IC"
"1","blue",TRUE,4.27006571721096e-06,12994,431,376,0.872389791183295,0.0289364321994767,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"2","blue",TRUE,0.000865554605938808,4850,431,167,0.387470997679814,0.0344329896907217,"GO:0005829","GO:CC","cytosol",16963,487,"c(""GO:0005737"", ""GO:0110165"")",NA
"3","blue",TRUE,0.033397294791379,6463,431,202,0.468677494199536,0.031254835215844,"GO:0005634","GO:CC","nucleus",16963,310,"GO:0043231",NA
"4","blue",TRUE,0.00115476349004471,153,423,16,0.0378250591016548,0.104575163398693,"GO:0017137","GO:MF","Rab GTPase binding",16268,4032,"GO:0017016",NA
"5","blue",TRUE,0.00459412807834905,433,423,28,0.066193853427896,0.0646651270207852,"GO:0051020","GO:MF","GTPase binding",16268,9161,"GO:0019899",NA
"6","blue",TRUE,0.00500257941938448,341,423,24,0.0567375886524823,0.0703812316715543,"GO:0031267","GO:MF","small GTPase binding",16268,5099,"GO:0051020",NA
"7","blue",TRUE,0.0174630332313914,321,423,22,0.0520094562647754,0.0685358255451713,"GO:0017016","GO:MF","Ras GTPase binding",16268,3950,"GO:0031267",NA
"8","blue",TRUE,1.35260641221976e-05,121,290,17,0.0586206896551724,0.140495867768595,"REAC:R-HSA-9007101","REAC","Rab regulation of trafficking",10588,1732,"REAC:R-HSA-199991",NA
"9","blue",TRUE,0.000102533062284171,44,290,10,0.0344827586206897,0.227272727272727,"REAC:R-HSA-8854214","REAC","TBC/RABGAPs",10588,2127,"REAC:R-HSA-9007101",NA
"10","brown",TRUE,0.00031819557963929,12994,498,424,0.85140562248996,0.0326304448206865,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"11","brown",TRUE,0.00183402830548015,9588,498,329,0.660642570281124,0.0343137254901961,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16963,2153,"c(""GO:0043227"", ""GO:0043229"")",NA
