"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","IC"
"1","black",TRUE,0.0210466228523252,12231,264,217,0.821969696969697,0.0177418036137683,"GO:0043226","GO:CC","organelle",16963,2148,"GO:0110165",NA
"2","black",TRUE,0.0232065803187011,12994,264,227,0.859848484848485,0.0174696013544713,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"3","cyan",TRUE,0.010924798065168,80,134,6,0.0447761194029851,0.075,"GO:0036126","GO:CC","sperm flagellum",16963,1947,"GO:0097729",NA
"4","cyan",TRUE,0.0144016238374959,84,134,6,0.0447761194029851,0.0714285714285714,"GO:0097729","GO:CC","9+2 motile cilium",16963,3534,"GO:0031514",NA
"5","cyan",TRUE,0.0444929694371214,14,134,3,0.0223880597014925,0.214285714285714,"GO:0097228","GO:CC","sperm principal piece",16963,3341,"c(""GO:0036126"", ""GO:0110165"")",NA
"6","darkorange",TRUE,0.000258161715762151,5588,561,255,0.454545454545455,0.0456335003579098,"GO:0071840","GO:BP","cellular component organization or biogenesis",15979,20037,"GO:0009987",NA
"7","darkorange",TRUE,0.000382799943172124,5422,561,248,0.442067736185383,0.0457395794909627,"GO:0016043","GO:BP","cellular component organization",15979,5695,"GO:0071840",NA
"8","darkorange",TRUE,0.000621300649267694,3440,561,171,0.304812834224599,0.0497093023255814,"GO:0006996","GO:BP","organelle organization",15979,2954,"GO:0016043",NA
"9","darkorange",TRUE,0.00198668578414725,9269,561,380,0.677361853832442,0.0409968712914014,"GO:0044237","GO:BP","cellular metabolic process",15979,12812,"c(""GO:0008152"", ""GO:0009987"")",NA
"10","darkorange",TRUE,0.0284445959346797,8837,561,359,0.639928698752228,0.0406246463732036,"GO:0044238","GO:BP","primary metabolic process",15979,12813,"GO:0008152",NA
"11","darkorange",TRUE,2.47809843686441e-09,12994,586,513,0.87542662116041,0.0394797598891796,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"12","darkorange",TRUE,7.27822008321723e-08,11093,586,452,0.771331058020478,0.0407464166591544,"GO:0043229","GO:CC","intracellular organelle",16963,2151,"c(""GO:0005622"", ""GO:0043226"")",NA
