"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","IC"
"1","bisque4",TRUE,0.0156211499256698,106,207,8,0.0386473429951691,0.0754716981132075,"GO:0022626","GO:CC","cytosolic ribosome",16963,1034,"c(""GO:0005829"", ""GO:0005840"")",NA
"2","bisque4",TRUE,0.0358155759812876,188,207,10,0.0483091787439614,0.0531914893617021,"GO:0044391","GO:CC","ribosomal subunit",16963,2355,"c(""GO:0005840"", ""GO:1990904"")",NA
"3","bisque4",TRUE,0.0420382111027129,12994,207,180,0.869565217391304,0.0138525473295367,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"4","bisque4",TRUE,0.0497326476637474,2,207,2,0.00966183574879227,1,"GO:0070554","GO:CC","synaptobrevin 2-SNAP-25-syntaxin-3-complexin complex",16963,2870,"GO:0031201",NA
"5","bisque4",TRUE,0.0355246573885463,8,202,3,0.0148514851485149,0.375,"GO:0004862","GO:MF","cAMP-dependent protein kinase inhibitor activity",16268,1432,"c(""GO:0008603"", ""GO:0030291"")",NA
"6","bisque4",TRUE,0.00541324063085078,134,102,9,0.0882352941176471,0.0671641791044776,"KEGG:03010","KEGG","Ribosome",7747,203,"KEGG:00000",NA
"7","bisque4",TRUE,0.000223205079452013,117,147,11,0.0748299319727891,0.094017094017094,"REAC:R-HSA-2408522","REAC","Selenoamino acid metabolism",10588,1925,"REAC:R-HSA-71291",NA
"8","bisque4",TRUE,0.00128103246700561,113,147,10,0.0680272108843537,0.0884955752212389,"REAC:R-HSA-72706","REAC","GTP hydrolysis and joining of the 60S ribosomal subunit",10588,916,"REAC:R-HSA-72737",NA
"9","bisque4",TRUE,0.00220469078622182,120,147,10,0.0680272108843537,0.0833333333333333,"REAC:R-HSA-72613","REAC","Eukaryotic Translation Initiation",10588,781,"REAC:R-HSA-72766",NA
"10","bisque4",TRUE,0.00220469078622182,120,147,10,0.0680272108843537,0.0833333333333333,"REAC:R-HSA-72737","REAC","Cap-dependent Translation Initiation",10588,281,"REAC:R-HSA-72613",NA
"11","bisque4",TRUE,0.00409488694069357,102,147,9,0.0612244897959184,0.0882352941176471,"REAC:R-HSA-72689","REAC","Formation of a pool of free 40S subunits",10588,854,"REAC:R-HSA-72737",NA
"12","bisque4",TRUE,0.00873394833457633,112,147,9,0.0612244897959184,0.0803571428571429,"REAC:R-HSA-156827","REAC","L13a-mediated translational silencing of Ceruloplasmin expression",10588,1163,"REAC:R-HSA-72613",NA
"13","bisque4",TRUE,0.0120818726185164,90,147,8,0.054421768707483,0.0888888888888889,"REAC:R-HSA-156902","REAC","Peptide chain elongation",10588,1544,"REAC:R-HSA-156842",NA
"14","bisque4",TRUE,0.0120818726185164,90,147,8,0.054421768707483,0.0888888888888889,"REAC:R-HSA-192823","REAC","Viral mRNA Translation",10588,2341,"REAC:R-HSA-168273",NA
"15","bisque4",TRUE,0.0165586791412088,94,147,8,0.054421768707483,0.0851063829787234,"REAC:R-HSA-156842","REAC","Eukaryotic Translation Elongation",10588,780,"REAC:R-HSA-72766",NA
"16","bisque4",TRUE,0.0165586791412088,94,147,8,0.054421768707483,0.0851063829787234,"REAC:R-HSA-2408557","REAC","Selenocysteine synthesis",10588,1926,"REAC:R-HSA-2408522",NA
"17","bisque4",TRUE,0.0165586791412088,94,147,8,0.054421768707483,0.0851063829787234,"REAC:R-HSA-72764","REAC","Eukaryotic Translation Termination",10588,782,"REAC:R-HSA-72766",NA
