"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","IC"
"1","antiquewhite4",TRUE,0.0278324726259237,8,111,3,0.027027027027027,0.375,"GO:1900227","GO:BP","positive regulation of NLRP3 inflammasome complex assembly",15979,23724,"c(""GO:0031334"", ""GO:0044546"", ""GO:1900225"")",NA
"2","antiquewhite4",TRUE,0.0480577592647353,4639,118,51,0.432203389830508,0.0109937486527269,"GO:0031981","GO:CC","nuclear lumen",16963,1472,"c(""GO:0005634"", ""GO:0070013"")",NA
"3","black",TRUE,0.0493693974874048,73,43,4,0.0930232558139535,0.0547945205479452,"KEGG:00562","KEGG","Inositol phosphate metabolism",7747,86,"KEGG:00000",NA
"4","brown",TRUE,0.0352828859355134,768,366,37,0.101092896174863,0.0481770833333333,"GO:0016071","GO:BP","mRNA metabolic process",15979,5718,"GO:0016070",NA
"5","brown",TRUE,5.81848595202029e-09,12994,381,342,0.897637795275591,0.0263198399261197,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"6","brown",TRUE,9.0413388614957e-07,11093,381,301,0.79002624671916,0.0271342287929325,"GO:0043229","GO:CC","intracellular organelle",16963,2151,"c(""GO:0005622"", ""GO:0043226"")",NA
"7","brown",TRUE,2.28722995173838e-05,11333,381,301,0.79002624671916,0.0265596046942557,"GO:0043227","GO:CC","membrane-bounded organelle",16963,2149,"GO:0043226",NA
"8","brown",TRUE,4.63344651149705e-05,9588,381,264,0.692913385826772,0.0275344180225282,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16963,2153,"c(""GO:0043227"", ""GO:0043229"")",NA
"9","brown",TRUE,5.71705384545995e-05,9937,381,271,0.711286089238845,0.0272718124182349,"GO:0005737","GO:CC","cytoplasm",16963,402,"c(""GO:0005622"", ""GO:0110165"")",NA
"10","brown",TRUE,0.000119880763011611,12231,381,316,0.829396325459318,0.0258359905159022,"GO:0043226","GO:CC","organelle",16963,2148,"GO:0110165",NA
"11","brown",TRUE,0.000978332121911652,5682,381,170,0.446194225721785,0.0299190425906371,"GO:0070013","GO:CC","intracellular organelle lumen",16963,2747,"c(""GO:0043229"", ""GO:0043233"")",NA
"12","brown",TRUE,0.000978332121911652,5682,381,170,0.446194225721785,0.0299190425906371,"GO:0031974","GO:CC","membrane-enclosed lumen",16963,1466,"GO:0110165",NA
"13","brown",TRUE,0.000978332121911652,5682,381,170,0.446194225721785,0.0299190425906371,"GO:0043233","GO:CC","organelle lumen",16963,2155,"c(""GO:0031974"", ""GO:0043226"")",NA
"14","brown",TRUE,0.00456567919085255,3932,381,124,0.325459317585302,0.0315361139369278,"GO:0005654","GO:CC","nucleoplasm",16963,327,"c(""GO:0031981"", ""GO:0110165"")",NA
"15","brown",TRUE,0.0238643720661874,4639,381,138,0.362204724409449,0.0297477904720845,"GO:0031981","GO:CC","nuclear lumen",16963,1472,"c(""GO:0005634"", ""GO:0070013"")",NA
"16","brown",TRUE,0.0389241386724527,4850,381,142,0.372703412073491,0.0292783505154639,"GO:0005829","GO:CC","cytosol",16963,487,"c(""GO:0005737"", ""GO:0110165"")",NA
"17","brown",TRUE,0.021860552053301,248,182,16,0.0879120879120879,0.0645161290322581,"KEGG:04144","KEGG","Endocytosis",7747,258,"KEGG:00000",NA
"18","coral1",TRUE,0.000889225007882122,9269,234,172,0.735042735042735,0.0185564785845291,"GO:0044237","GO:BP","cellular metabolic process",15979,12812,"c(""GO:0008152"", ""GO:0009987"")",NA
"19","coral1",TRUE,0.0348695321762766,9975,234,176,0.752136752136752,0.0176441102756892,"GO:0008152","GO:BP","metabolic process",15979,3566,"GO:0008150",NA
"20","coral1",TRUE,4.90988715966857e-06,12994,247,223,0.902834008097166,0.0171617669693705,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"21","coral1",TRUE,1.27900384742062e-05,9937,247,185,0.748987854251012,0.0186172889201972,"GO:0005737","GO:CC","cytoplasm",16963,402,"c(""GO:0005622"", ""GO:0110165"")",NA
"22","coral1",TRUE,0.00105645213796571,9588,247,174,0.704453441295547,0.0181476846057572,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16963,2153,"c(""GO:0043227"", ""GO:0043229"")",NA
"23","coral1",TRUE,0.00522846911288577,4850,247,101,0.408906882591093,0.0208247422680412,"GO:0005829","GO:CC","cytosol",16963,487,"c(""GO:0005737"", ""GO:0110165"")",NA
"24","coral1",TRUE,0.00728606909446176,11093,247,191,0.773279352226721,0.0172180654466781,"GO:0043229","GO:CC","intracellular organelle",16963,2151,"c(""GO:0005622"", ""GO:0043226"")",NA
"25","coral1",TRUE,0.0145126532509131,11333,247,193,0.781376518218624,0.0170299126444895,"GO:0043227","GO:CC","membrane-bounded organelle",16963,2149,"GO:0043226",NA
"26","coral1",TRUE,0.0367524949027818,12231,247,203,0.821862348178138,0.0165971711225574,"GO:0043226","GO:CC","organelle",16963,2148,"GO:0110165",NA
"27","coral1",TRUE,0.0397836894447786,1903,250,50,0.2,0.0262743037309511,"GO:0019899","GO:MF","enzyme binding",16268,4655,"GO:0005515",NA
"28","cyan",TRUE,0.00551399035991641,39,122,5,0.040983606557377,0.128205128205128,"GO:0005272","GO:MF","sodium channel activity",16268,1763,"c(""GO:0005261"", ""GO:0015081"")",NA
"29","cyan",TRUE,0.0299909778703223,2,122,2,0.0163934426229508,1,"GO:0047408","GO:MF","alkenylglycerophosphocholine hydrolase activity",16268,7850,"GO:0016803",NA
