"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","IC"
"1","antiquewhite4",TRUE,0.0326803538063875,9588,117,86,0.735042735042735,0.00896954526491448,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16963,2153,"c(""GO:0043227"", ""GO:0043229"")",NA
"2","bisque4",TRUE,0.00569918302594759,12994,125,114,0.912,0.00877327997537325,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"3","bisque4",TRUE,0.0254246380054613,12,125,3,0.024,0.25,"GO:0031464","GO:CC","Cul4A-RING E3 ubiquitin ligase complex",16963,1357,"GO:0080008",NA
"4","bisque4",TRUE,0.047746397940327,37,125,4,0.032,0.108108108108108,"GO:0080008","GO:CC","Cul4-RING E3 ubiquitin ligase complex",16963,3193,"GO:0031461",NA
"5","bisque4",TRUE,0.0489994044951414,4723,125,54,0.432,0.0114334109676053,"GO:0032991","GO:CC","protein-containing complex",16963,1590,"GO:0005575",NA
"6","bisque4",TRUE,0.0497960679664283,58,90,5,0.0555555555555556,0.0862068965517241,"REAC:R-HSA-8866654","REAC","E3 ubiquitin ligases ubiquitinate target proteins",10588,728,"REAC:R-HSA-8852135",NA
"7","blue",TRUE,0.000742394715008995,650,71,13,0.183098591549296,0.02,"GO:0005773","GO:CC","vacuole",16963,434,"c(""GO:0005737"", ""GO:0043231"")",NA
"8","blue",TRUE,0.00136759038734813,581,71,12,0.169014084507042,0.0206540447504303,"GO:0005764","GO:CC","lysosome",16963,426,"GO:0000323",NA
"9","blue",TRUE,0.00136759038734813,581,71,12,0.169014084507042,0.0206540447504303,"GO:0000323","GO:CC","lytic vacuole",16963,67,"GO:0005773",NA
"10","blue",TRUE,0.0268208858841777,344,71,8,0.112676056338028,0.0232558139534884,"GO:0005774","GO:CC","vacuolar membrane",16963,435,"c(""GO:0005773"", ""GO:0098588"", ""GO:0098805"")",NA
"11","brown",TRUE,3.61668441644734e-05,12994,186,170,0.913978494623656,0.0130829613667847,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"12","brown",TRUE,0.0235689912898634,8,186,3,0.0161290322580645,0.375,"GO:0031588","GO:CC","nucleotide-activated protein kinase complex",16963,1402,"c(""GO:0005622"", ""GO:1902911"")",NA
"13","brown2",TRUE,0.0117321258590159,12994,145,130,0.896551724137931,0.0100046175157765,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"14","brown2",TRUE,0.0119281913073853,9937,145,108,0.744827586206897,0.0108684713696287,"GO:0005737","GO:CC","cytoplasm",16963,402,"c(""GO:0005622"", ""GO:0110165"")",NA
"15","brown2",TRUE,0.0478175514208868,4850,145,62,0.427586206896552,0.0127835051546392,"GO:0005829","GO:CC","cytosol",16963,487,"c(""GO:0005737"", ""GO:0110165"")",NA
"16","coral1",TRUE,2.94219577733669e-06,12994,179,166,0.927374301675978,0.0127751269816839,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"17","coral1",TRUE,2.50171631388889e-05,11093,179,149,0.832402234636871,0.0134318939871991,"GO:0043229","GO:CC","intracellular organelle",16963,2151,"c(""GO:0005622"", ""GO:0043226"")",NA
"18","coral1",TRUE,0.000220034379527094,4850,179,82,0.458100558659218,0.0169072164948454,"GO:0005829","GO:CC","cytosol",16963,487,"c(""GO:0005737"", ""GO:0110165"")",NA
"19","coral1",TRUE,0.000534736130408153,9937,179,135,0.754189944134078,0.0135855892120358,"GO:0005737","GO:CC","cytoplasm",16963,402,"c(""GO:0005622"", ""GO:0110165"")",NA
