"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","IC"
"1","antiquewhite4",TRUE,0.00317313783778016,305,101,14,0.138613861386139,0.0459016393442623,"KEGG:05016","KEGG","Huntington disease",7747,388,"KEGG:00000",NA
"2","black",TRUE,0.0329546854403745,195,55,7,0.127272727272727,0.0358974358974359,"KEGG:04020","KEGG","Calcium signaling pathway",7747,228,"KEGG:00000",NA
"3","black",TRUE,0.0462483753521123,97,55,5,0.0909090909090909,0.0515463917525773,"KEGG:04713","KEGG","Circadian entrainment",7747,324,"KEGG:00000",NA
"4","blue",TRUE,0.00132193986534303,3932,136,55,0.404411764705882,0.0139877924720244,"GO:0005654","GO:CC","nucleoplasm",16963,327,"c(""GO:0031981"", ""GO:0110165"")",NA
"5","blue",TRUE,0.00487705902225884,4639,136,60,0.441176470588235,0.0129338219443846,"GO:0031981","GO:CC","nuclear lumen",16963,1472,"c(""GO:0005634"", ""GO:0070013"")",NA
"6","blue",TRUE,0.00610418303368558,5682,136,69,0.507352941176471,0.0121436114044351,"GO:0070013","GO:CC","intracellular organelle lumen",16963,2747,"c(""GO:0043229"", ""GO:0043233"")",NA
"7","blue",TRUE,0.00610418303368558,5682,136,69,0.507352941176471,0.0121436114044351,"GO:0043233","GO:CC","organelle lumen",16963,2155,"c(""GO:0031974"", ""GO:0043226"")",NA
"8","blue",TRUE,0.00610418303368558,5682,136,69,0.507352941176471,0.0121436114044351,"GO:0031974","GO:CC","membrane-enclosed lumen",16963,1466,"GO:0110165",NA
"9","blue2",TRUE,0.0483579243987257,3440,125,47,0.376,0.0136627906976744,"GO:0006996","GO:BP","organelle organization",15979,2954,"GO:0016043",NA
"10","blue2",TRUE,0.000945564283160316,11093,132,110,0.833333333333333,0.0099161633462544,"GO:0043229","GO:CC","intracellular organelle",16963,2151,"c(""GO:0005622"", ""GO:0043226"")",NA
"11","blue2",TRUE,0.00166129999069708,1291,132,26,0.196969696969697,0.0201394268009295,"GO:1902494","GO:CC","catalytic complex",16963,3994,"GO:0032991",NA
"12","blue2",TRUE,0.00459225527062439,12994,132,120,0.909090909090909,0.00923503155302447,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"13","blue2",TRUE,0.00483769381897311,9588,132,98,0.742424242424242,0.0102211097204839,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16963,2153,"c(""GO:0043227"", ""GO:0043229"")",NA
"14","blue2",TRUE,0.0076975144309284,12231,132,115,0.871212121212121,0.00940233832066062,"GO:0043226","GO:CC","organelle",16963,2148,"GO:0110165",NA
"15","blue2",TRUE,0.02249777144684,757,132,17,0.128787878787879,0.0224570673712021,"GO:1990234","GO:CC","transferase complex",16963,4201,"GO:1902494",NA
