"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","IC"
"1","black",TRUE,2.59901337134975e-05,9937,135,108,0.8,0.0108684713696287,"GO:0005737","GO:CC","cytoplasm",16963,402,"c(""GO:0005622"", ""GO:0110165"")",NA
"2","black",TRUE,0.000215657295017483,12994,135,125,0.925925925925926,0.00961982453440049,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"3","black",TRUE,0.00293320714045934,11093,135,111,0.822222222222222,0.0100063102857658,"GO:0043229","GO:CC","intracellular organelle",16963,2151,"c(""GO:0005622"", ""GO:0043226"")",NA
"4","black",TRUE,0.00756076445520519,4850,135,61,0.451851851851852,0.0125773195876289,"GO:0005829","GO:CC","cytosol",16963,487,"c(""GO:0005737"", ""GO:0110165"")",NA
"5","black",TRUE,0.00994015722520625,9588,135,99,0.733333333333333,0.0103254067584481,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16963,2153,"c(""GO:0043227"", ""GO:0043229"")",NA
"6","black",TRUE,0.0187479538712986,3785,135,50,0.37037037037037,0.0132100396301189,"GO:0012505","GO:CC","endomembrane system",16963,835,"GO:0110165",NA
"7","black",TRUE,0.0280158122785621,11333,135,110,0.814814814814815,0.00970616782846554,"GO:0043227","GO:CC","membrane-bounded organelle",16963,2149,"GO:0043226",NA
"8","blue",TRUE,0.0229087331302632,30,276,6,0.0217391304347826,0.2,"GO:0046949","GO:BP","fatty-acyl-CoA biosynthetic process",15979,14675,"c(""GO:0035337"", ""GO:0071616"", ""GO:1901570"")",NA
"9","blue",TRUE,0.0489652727913479,34,276,6,0.0217391304347826,0.176470588235294,"GO:0033120","GO:BP","positive regulation of RNA splicing",15979,9319,"c(""GO:0008380"", ""GO:0010628"", ""GO:0043484"", ""GO:0051254"")",NA
"10","blue",TRUE,6.28290209897306e-07,12994,291,262,0.900343642611684,0.0201631522241034,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"11","blue",TRUE,2.73543004320072e-05,4850,291,125,0.429553264604811,0.0257731958762887,"GO:0005829","GO:CC","cytosol",16963,487,"c(""GO:0005737"", ""GO:0110165"")",NA
"12","blue",TRUE,0.00464675337879355,9937,291,205,0.70446735395189,0.0206299688034618,"GO:0005737","GO:CC","cytoplasm",16963,402,"c(""GO:0005622"", ""GO:0110165"")",NA
"13","blue",TRUE,0.0204885943831008,5,280,3,0.0107142857142857,0.6,"GO:0005315","GO:MF","inorganic phosphate transmembrane transporter activity",16268,1792,"c(""GO:0015291"", ""GO:0015318"")",NA
"14","blue",TRUE,0.0181811974559977,37,188,6,0.0319148936170213,0.162162162162162,"REAC:R-HSA-75105","REAC","Fatty acyl-CoA biosynthesis",10588,839,"REAC:R-HSA-8978868",NA
"15","brown",TRUE,0.00662070904191681,174,286,14,0.048951048951049,0.0804597701149425,"GO:0032868","GO:BP","response to insulin",15979,9138,"GO:0043434",NA
"16","brown",TRUE,0.00830838621879581,5588,286,137,0.479020979020979,0.0245168217609162,"GO:0071840","GO:BP","cellular component organization or biogenesis",15979,20037,"GO:0009987",NA
"17","brown",TRUE,0.0153964332270883,162,286,13,0.0454545454545455,0.0802469135802469,"GO:0032869","GO:BP","cellular response to insulin stimulus",15979,9139,"c(""GO:0032868"", ""GO:0071375"")",NA
"18","brown",TRUE,0.0106574189274494,3932,297,99,0.333333333333333,0.0251780264496439,"GO:0005654","GO:CC","nucleoplasm",16963,327,"c(""GO:0031981"", ""GO:0110165"")",NA
"19","brown",TRUE,0.0133750470519049,9588,297,201,0.676767676767677,0.0209637046307885,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16963,2153,"c(""GO:0043227"", ""GO:0043229"")",NA
"20","brown",TRUE,0.0159980905383775,4639,297,112,0.377104377104377,0.0241431342961845,"GO:0031981","GO:CC","nuclear lumen",16963,1472,"c(""GO:0005634"", ""GO:0070013"")",NA
"21","brown",TRUE,0.0230440266017125,12994,297,254,0.855218855218855,0.0195474834539018,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"22","brown",TRUE,0.0219598687301528,11572,292,237,0.811643835616438,0.020480470100242,"GO:0005515","GO:MF","protein binding",16268,1897,"GO:0005488",NA
"23","brown4",TRUE,0.00343556673955789,631,338,33,0.0976331360946746,0.05229793977813,"GO:0051603","GO:BP","proteolysis involved in cellular protein catabolic process",15979,16216,"c(""GO:0006508"", ""GO:0044257"")",NA
"24","brown4",TRUE,0.00459800952990738,6944,338,189,0.559171597633136,0.0272177419354839,"GO:0044260","GO:BP","cellular macromolecule metabolic process",15979,12827,"c(""GO:0043170"", ""GO:0044237"")",NA
"25","brown4",TRUE,0.0074383038751616,2004,338,72,0.21301775147929,0.0359281437125748,"GO:0016310","GO:BP","phosphorylation",15979,5827,"GO:0006796",NA
"26","brown4",TRUE,0.00775203735910925,686,338,34,0.100591715976331,0.0495626822157434,"GO:0044257","GO:BP","cellular protein catabolic process",15979,12825,"c(""GO:0030163"", ""GO:0044265"", ""GO:0044267"")",NA
"27","brown4",TRUE,0.00784038338217069,536,338,29,0.0857988165680473,0.0541044776119403,"GO:0006511","GO:BP","ubiquitin-dependent protein catabolic process",15979,2520,"GO:0019941",NA
"28","brown4",TRUE,0.00906069609145087,540,338,29,0.0857988165680473,0.0537037037037037,"GO:0019941","GO:BP","modification-dependent protein catabolic process",15979,7081,"c(""GO:0043632"", ""GO:0051603"")",NA
"29","brown4",TRUE,0.00931905725082523,1682,338,63,0.186390532544379,0.0374554102259215,"GO:0006468","GO:BP","protein phosphorylation",15979,2480,"c(""GO:0006464"", ""GO:0016310"")",NA
"30","brown4",TRUE,0.01337188072145,551,338,29,0.0857988165680473,0.0526315789473684,"GO:0043632","GO:BP","modification-dependent macromolecule catabolic process",15979,12579,"GO:0044265",NA
"31","brown4",TRUE,0.0164835361991525,8837,338,226,0.668639053254438,0.0255742899173928,"GO:0044238","GO:BP","primary metabolic process",15979,12813,"GO:0008152",NA
