"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","IC"
"1","antiquewhite4",TRUE,0.0156662603119693,12231,148,127,0.858108108108108,0.0103834518845556,"GO:0043226","GO:CC","organelle",16963,2148,"GO:0110165",NA
"2","black",TRUE,7.27578017107641e-05,132,148,11,0.0743243243243243,0.0833333333333333,"GO:0070972","GO:BP","protein localization to endoplasmic reticulum",15979,19447,"GO:0033365",NA
"3","black",TRUE,8.62724870466861e-05,105,148,10,0.0675675675675676,0.0952380952380952,"GO:0045047","GO:BP","protein targeting to ER",15979,13225,"c(""GO:0006605"", ""GO:0072599"")",NA
"4","black",TRUE,0.000123544619149228,109,148,10,0.0675675675675676,0.0917431192660551,"GO:0072599","GO:BP","establishment of protein localization to endoplasmic reticulum",15979,20662,"c(""GO:0070972"", ""GO:0072594"")",NA
"5","black",TRUE,0.000206031148368369,115,148,10,0.0675675675675676,0.0869565217391304,"GO:0000184","GO:BP","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",15979,79,"GO:0000956",NA
"6","black",TRUE,0.000299014055439386,91,148,9,0.0608108108108108,0.0989010989010989,"GO:0006614","GO:BP","SRP-dependent cotranslational protein targeting to membrane",15979,2620,"c(""GO:0006613"", ""GO:0045047"")",NA
"7","black",TRUE,0.000441517426911151,193,148,12,0.0810810810810811,0.0621761658031088,"GO:0019080","GO:BP","viral gene expression",15979,6492,"GO:0016032",NA
"8","black",TRUE,0.000568283443289645,98,148,9,0.0608108108108108,0.0918367346938776,"GO:0006613","GO:BP","cotranslational protein targeting to membrane",15979,2619,"GO:0006612",NA
"9","black",TRUE,0.00151900272265033,178,148,11,0.0743243243243243,0.0617977528089888,"GO:0006413","GO:BP","translational initiation",15979,2437,"c(""GO:0006412"", ""GO:0044237"")",NA
"10","black",TRUE,0.0103583143183588,176,148,10,0.0675675675675676,0.0568181818181818,"GO:0019083","GO:BP","viral transcription",15979,6495,"c(""GO:0016032"", ""GO:0019080"")",NA
"11","black",TRUE,0.0153468896945677,184,148,10,0.0675675675675676,0.0543478260869565,"GO:0006612","GO:BP","protein targeting to membrane",15979,2618,"c(""GO:0006605"", ""GO:0090150"")",NA
"12","black",TRUE,0.0223804278467653,545,148,17,0.114864864864865,0.0311926605504587,"GO:0044270","GO:BP","cellular nitrogen compound catabolic process",15979,12833,"c(""GO:0034641"", ""GO:0044248"")",NA
"13","black",TRUE,0.0296340994548244,390,148,14,0.0945945945945946,0.0358974358974359,"GO:0006605","GO:BP","protein targeting",15979,2611,"GO:0006886",NA
"14","black",TRUE,0.0341493619200409,395,148,14,0.0945945945945946,0.0354430379746835,"GO:0006401","GO:BP","RNA catabolic process",15979,2426,"c(""GO:0016070"", ""GO:0034655"", ""GO:0044265"")",NA
"15","black",TRUE,0.0410324281812831,206,148,10,0.0675675675675676,0.0485436893203883,"GO:0000956","GO:BP","nuclear-transcribed mRNA catabolic process",15979,338,"GO:0006402",NA
