"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","IC"
"1","black",TRUE,0.00877668667962375,6944,149,92,0.61744966442953,0.0132488479262673,"GO:0044260","GO:BP","cellular macromolecule metabolic process",15979,12827,"c(""GO:0043170"", ""GO:0044237"")",NA
"2","black",TRUE,0.0109044865637726,8407,149,105,0.704697986577181,0.0124895920066611,"GO:0006807","GO:BP","nitrogen compound metabolic process",15979,2797,"GO:0008152",NA
"3","black",TRUE,0.0252975033717863,8079,149,101,0.677852348993289,0.0125015472211907,"GO:0043170","GO:BP","macromolecule metabolic process",15979,12307,"GO:0071704",NA
"4","black",TRUE,0.0278024444165243,6,149,3,0.0201342281879195,0.5,"GO:1904672","GO:BP","regulation of somatic stem cell population maintenance",15979,27807,"c(""GO:0035019"", ""GO:2000036"")",NA
"5","black",TRUE,0.0337407621508338,4133,149,62,0.416107382550336,0.0150012097749819,"GO:0090304","GO:BP","nucleic acid metabolic process",15979,21663,"c(""GO:0006139"", ""GO:0043170"")",NA
"6","black",TRUE,0.0429671549427987,3702,149,57,0.38255033557047,0.0153970826580227,"GO:0016070","GO:BP","RNA metabolic process",15979,5717,"GO:0090304",NA
"7","black",TRUE,9.86140861438009e-05,6463,155,90,0.580645161290323,0.0139254216308216,"GO:0005634","GO:CC","nucleus",16963,310,"GO:0043231",NA
"8","black",TRUE,0.0129298224206664,3932,155,58,0.374193548387097,0.0147507629704985,"GO:0005654","GO:CC","nucleoplasm",16963,327,"c(""GO:0031981"", ""GO:0110165"")",NA
"9","black",TRUE,0.0173186844057832,4639,155,65,0.419354838709677,0.0140116404397499,"GO:0031981","GO:CC","nuclear lumen",16963,1472,"c(""GO:0005634"", ""GO:0070013"")",NA
"10","blue",TRUE,0.0235454150503277,395,203,17,0.083743842364532,0.0430379746835443,"GO:0006401","GO:BP","RNA catabolic process",15979,2426,"c(""GO:0016070"", ""GO:0034655"", ""GO:0044265"")",NA
"11","blue",TRUE,2.29763720999532e-06,637,212,28,0.132075471698113,0.043956043956044,"GO:1990904","GO:CC","ribonucleoprotein complex",16963,4437,"GO:0032991",NA
"12","blue",TRUE,0.000986927927847124,4723,212,90,0.424528301886792,0.0190556849460089,"GO:0032991","GO:CC","protein-containing complex",16963,1590,"GO:0005575",NA
"13","blue",TRUE,0.00931483347123588,12994,212,186,0.877358490566038,0.0143142989071879,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"14","blue",TRUE,0.0164747696825899,11093,212,165,0.778301886792453,0.0148742450193816,"GO:0043229","GO:CC","intracellular organelle",16963,2151,"c(""GO:0005622"", ""GO:0043226"")",NA
"15","blue",TRUE,0.025072171612419,213,212,11,0.0518867924528302,0.0516431924882629,"GO:0005840","GO:CC","ribosome",16963,497,"GO:0043232",NA
"16","blue",TRUE,0.000655275966077027,662,132,24,0.181818181818182,0.0362537764350453,"REAC:R-HSA-8953854","REAC","Metabolism of RNA",10588,1265,"REAC:0000000",NA
"17","blue",TRUE,0.00992255852602572,193,132,11,0.0833333333333333,0.0569948186528497,"REAC:R-HSA-8868773","REAC","rRNA processing in the nucleus and cytosol",10588,2411,"REAC:R-HSA-72312",NA
"18","blue",TRUE,0.0157938670775177,203,132,11,0.0833333333333333,0.0541871921182266,"REAC:R-HSA-72312","REAC","rRNA processing",10588,2409,"REAC:R-HSA-8953854",NA
