"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","IC"
"1","antiquewhite4",TRUE,0.0405306472119306,118,163,7,0.0429447852760736,0.0593220338983051,"GO:0042579","GO:CC","microbody",16963,2060,"c(""GO:0005737"", ""GO:0043231"")",NA
"2","antiquewhite4",TRUE,0.0405306472119306,118,163,7,0.0429447852760736,0.0593220338983051,"GO:0005777","GO:CC","peroxisome",16963,438,"GO:0042579",NA
"3","blue",TRUE,0.0120988011849494,12994,182,161,0.884615384615385,0.0123903340003078,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"4","blue",TRUE,0.0397537181361256,2,182,2,0.010989010989011,1,"GO:0017109","GO:CC","glutamate-cysteine ligase complex",16963,941,"c(""GO:0005737"", ""GO:1902494"")",NA
"5","blue",TRUE,0.0497930035222254,2,182,2,0.010989010989011,1,"GO:0004357","GO:MF","glutamate-cysteine ligase activity",16268,987,"GO:0016881",NA
"6","brown",TRUE,0.0283907702009475,100,149,8,0.0536912751677852,0.08,"REAC:R-HSA-6811434","REAC","COPI-dependent Golgi-to-ER retrograde traffic",10588,257,"REAC:R-HSA-8856688",NA
"7","brown4",TRUE,0.0478429731851516,3702,163,61,0.374233128834356,0.0164775796866559,"GO:0016070","GO:BP","RNA metabolic process",15979,5717,"GO:0090304",NA
"8","coral1",TRUE,0.00852093319346336,11093,239,185,0.774058577405858,0.0166771838096097,"GO:0043229","GO:CC","intracellular organelle",16963,2151,"c(""GO:0005622"", ""GO:0043226"")",NA
"9","coral1",TRUE,0.033167540151695,9588,239,163,0.682008368200837,0.0170004171881519,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16963,2153,"c(""GO:0043227"", ""GO:0043229"")",NA
"10","coral2",TRUE,0.0152627477853855,17,192,4,0.0208333333333333,0.235294117647059,"GO:0070006","GO:MF","metalloaminopeptidase activity",16268,9875,"c(""GO:0004177"", ""GO:0008235"")",NA
"11","coral2",TRUE,0.00135520015296136,13,99,4,0.0404040404040404,0.307692307692308,"KEGG:03450","KEGG","Non-homologous end-joining",7747,219,"KEGG:00000",NA
"12","coral2",TRUE,0.0497411083976487,9,127,3,0.0236220472440945,0.333333333333333,"REAC:R-HSA-629597","REAC","Highly calcium permeable nicotinic acetylcholine receptors",10588,1005,"REAC:R-HSA-622323",NA
"13","darkgreen",TRUE,9.83633657788188e-05,1864,185,48,0.259459459459459,0.0257510729613734,"GO:0016192","GO:BP","vesicle-mediated transport",15979,5792,"c(""GO:0006810"", ""GO:0009987"")",NA
