"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","IC"
"1","bisque4",TRUE,0.0263368730778157,83,155,7,0.0451612903225806,0.0843373493975904,"GO:0007127","GO:BP","meiosis I",15979,3067,"c(""GO:0061982"", ""GO:0140013"")",NA
"2","bisque4",TRUE,0.0298644118661433,279,155,12,0.0774193548387097,0.043010752688172,"GO:0007059","GO:BP","chromosome segregation",15979,3007,"GO:0009987",NA
"3","bisque4",TRUE,0.0386733750967723,88,155,7,0.0451612903225806,0.0795454545454545,"GO:0061982","GO:BP","meiosis I cell cycle process",15979,18754,"GO:1903046",NA
"4","bisque4",TRUE,0.041719594083432,75,69,5,0.072463768115942,0.0666666666666667,"KEGG:04918","KEGG","Thyroid hormone synthesis",7747,350,"KEGG:00000",NA
"5","bisque4",TRUE,0.0487847801420425,118,69,6,0.0869565217391304,0.0508474576271186,"KEGG:04935","KEGG","Growth hormone synthesis, secretion and action",7747,367,"KEGG:00000",NA
"6","bisque4",TRUE,0.0375900827683107,26,101,4,0.0396039603960396,0.153846153846154,"REAC:R-HSA-1855204","REAC","Synthesis of IP3 and IP4 in the cytosol",10588,2086,"REAC:R-HSA-1483249",NA
"7","black",TRUE,0.00396196294952248,283,157,12,0.0764331210191083,0.0424028268551237,"GO:0030133","GO:CC","transport vesicle",16963,1092,"c(""GO:0012505"", ""GO:0031410"")",NA
"8","brown",TRUE,0.00921964018941408,142,221,10,0.0452488687782805,0.0704225352112676,"GO:0005244","GO:MF","voltage-gated ion channel activity",16268,1748,"c(""GO:0015075"", ""GO:0022832"")",NA
"9","brown",TRUE,0.00921964018941408,142,221,10,0.0452488687782805,0.0704225352112676,"GO:0022832","GO:MF","voltage-gated channel activity",16268,4706,"GO:0022836",NA
"10","brown",TRUE,0.0185110132179978,584,221,21,0.0950226244343891,0.035958904109589,"GO:0008324","GO:MF","cation transmembrane transporter activity",16268,2117,"GO:0015075",NA
"11","brown",TRUE,0.0198372811332572,125,221,9,0.0407239819004525,0.072,"GO:0022843","GO:MF","voltage-gated cation channel activity",16268,4714,"c(""GO:0005244"", ""GO:0005261"")",NA
"12","brown",TRUE,0.0307712648977874,387,221,16,0.0723981900452489,0.041343669250646,"GO:0046873","GO:MF","metal ion transmembrane transporter activity",16268,7393,"GO:0022890",NA
"13","brown",TRUE,0.0107859853034312,113,103,8,0.0776699029126214,0.0707964601769911,"KEGG:04726","KEGG","Serotonergic synapse",7747,332,"KEGG:00000",NA
"14","brown4",TRUE,0.00739413076488853,1472,99,30,0.303030303030303,0.0203804347826087,"REAC:R-HSA-74160","REAC","Gene expression (Transcription)",10588,930,"REAC:0000000",NA
"15","brown4",TRUE,0.0271765474588285,1339,99,27,0.272727272727273,0.0201643017176998,"REAC:R-HSA-73857","REAC","RNA Polymerase II Transcription",10588,1686,"REAC:R-HSA-74160",NA
"16","brown4",TRUE,0.0413005945224358,1218,99,25,0.252525252525253,0.0205254515599343,"REAC:R-HSA-212436","REAC","Generic Transcription Pathway",10588,932,"REAC:R-HSA-73857",NA
"17","coral1",TRUE,0.041048155649198,2,183,2,0.0109289617486339,1,"GO:0034665","GO:CC","integrin alpha1-beta1 complex",16963,1765,"GO:0008305",NA
"18","coral1",TRUE,0.0176279933172296,59,176,6,0.0340909090909091,0.101694915254237,"GO:0005518","GO:MF","collagen binding",16268,1900,"GO:0044877",NA
"19","cyan",TRUE,0.0182696592127037,28,167,5,0.029940119760479,0.178571428571429,"GO:0045742","GO:BP","positive regulation of epidermal growth factor receptor signaling pathway",15979,13677,"c(""GO:0007173"", ""GO:0042058"", ""GO:1901186"")",NA
"20","cyan",TRUE,0.0260471732221185,30,167,5,0.029940119760479,0.166666666666667,"GO:1901186","GO:BP","positive regulation of ERBB signaling pathway",15979,24659,"c(""GO:0009967"", ""GO:0038127"", ""GO:1901184"")",NA
"21","cyan",TRUE,0.0498009356169482,2,170,2,0.0117647058823529,1,"GO:1990259","GO:MF","histone-glutamine methyltransferase activity",16268,12055,"c(""GO:0036009"", ""GO:0042054"")",NA
"22","darkgreen",TRUE,0.035469399625337,9937,246,172,0.699186991869919,0.0173090469960753,"GO:0005737","GO:CC","cytoplasm",16963,402,"c(""GO:0005622"", ""GO:0110165"")",NA
"23","darkgrey",TRUE,0.0268751121193072,160,65,7,0.107692307692308,0.04375,"KEGG:04310","KEGG","Wnt signaling pathway",7747,276,"KEGG:00000",NA
"24","darkorange2",TRUE,0.00485026003486629,35,186,6,0.032258064516129,0.171428571428571,"GO:1905314","GO:BP","semi-lunar valve development",15979,28410,"GO:0003170",NA
"25","darkorange2",TRUE,0.0392847888600125,30,186,5,0.0268817204301075,0.166666666666667,"GO:0003176","GO:BP","aortic valve development",15979,1775,"GO:1905314",NA
"26","darkorange2",TRUE,0.0461153978266281,51,186,6,0.032258064516129,0.117647058823529,"GO:0003170","GO:BP","heart valve development",15979,1769,"c(""GO:0007507"", ""GO:0048856"")",NA
"27","darkred",TRUE,0.000366940331223818,12994,227,202,0.889867841409692,0.0155456364475912,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"28","darkred",TRUE,0.00164288288088992,11093,227,179,0.788546255506608,0.0161363021725412,"GO:0043229","GO:CC","intracellular organelle",16963,2151,"c(""GO:0005622"", ""GO:0043226"")",NA
"29","darkred",TRUE,0.0111145136180698,11333,227,179,0.788546255506608,0.0157945821935939,"GO:0043227","GO:CC","membrane-bounded organelle",16963,2149,"GO:0043226",NA
"30","darkslateblue",TRUE,0.0498877499220761,2,224,2,0.00892857142857143,1,"GO:0034365","GO:CC","discoidal high-density lipoprotein particle",16963,1726,"GO:0034364",NA
"31","darkslateblue",TRUE,0.00918075837762176,5,217,3,0.0138248847926267,0.6,"GO:0005315","GO:MF","inorganic phosphate transmembrane transporter activity",16268,1792,"c(""GO:0015291"", ""GO:0015318"")",NA
"32","floralwhite",TRUE,0.0489920869280742,892,214,28,0.130841121495327,0.031390134529148,"GO:0019637","GO:BP","organophosphate metabolic process",15979,6917,"c(""GO:0006793"", ""GO:0071704"")",NA
"33","floralwhite",TRUE,0.0416519429066716,149,219,9,0.0410958904109589,0.0604026845637584,"GO:0070382","GO:CC","exocytic vesicle",16963,2824,"c(""GO:0030133"", ""GO:0099503"")",NA
"34","floralwhite",TRUE,0.0498860134992875,8,214,3,0.014018691588785,0.375,"GO:0001163","GO:MF","RNA polymerase I transcription regulatory region sequence-specific DNA binding",16268,228,"GO:0000976",NA
"35","floralwhite",TRUE,0.0498860134992875,8,214,3,0.014018691588785,0.375,"GO:0001164","GO:MF","RNA polymerase I core promoter sequence-specific DNA binding",16268,229,"c(""GO:0001046"", ""GO:0001163"")",NA
"36","ivory",TRUE,0.0404334132161083,11333,199,157,0.78894472361809,0.0138533486279008,"GO:0043227","GO:CC","membrane-bounded organelle",16963,2149,"GO:0043226",NA
"37","ivory",TRUE,0.0467654585661336,9588,199,138,0.693467336683417,0.0143929912390488,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16963,2153,"c(""GO:0043227"", ""GO:0043229"")",NA
"38","ivory",TRUE,0.0171952131685945,332,194,14,0.0721649484536082,0.0421686746987952,"GO:0140098","GO:MF","catalytic activity, acting on RNA",16268,11759,"GO:0003824",NA
"39","lavenderblush3",TRUE,4.41645509243401e-59,105,1630,83,0.050920245398773,0.79047619047619,"GO:0045047","GO:BP","protein targeting to ER",15979,13225,"c(""GO:0006605"", ""GO:0072599"")",NA
"40","lavenderblush3",TRUE,2.38833167013626e-57,91,1630,76,0.0466257668711656,0.835164835164835,"GO:0006614","GO:BP","SRP-dependent cotranslational protein targeting to membrane",15979,2620,"c(""GO:0006613"", ""GO:0045047"")",NA
"41","lavenderblush3",TRUE,1.0962817504408e-56,109,1630,83,0.050920245398773,0.761467889908257,"GO:0072599","GO:BP","establishment of protein localization to endoplasmic reticulum",15979,20662,"c(""GO:0070972"", ""GO:0072594"")",NA
"42","lavenderblush3",TRUE,2.94459187714882e-54,98,1630,77,0.047239263803681,0.785714285714286,"GO:0006613","GO:BP","cotranslational protein targeting to membrane",15979,2619,"GO:0006612",NA
"43","lavenderblush3",TRUE,7.05130365635378e-51,132,1630,87,0.0533742331288344,0.659090909090909,"GO:0070972","GO:BP","protein localization to endoplasmic reticulum",15979,19447,"GO:0033365",NA
"44","lavenderblush3",TRUE,2.06698124806131e-49,115,1630,80,0.049079754601227,0.695652173913043,"GO:0000184","GO:BP","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",15979,79,"GO:0000956",NA
"45","lavenderblush3",TRUE,3.86512272815974e-45,178,1630,96,0.0588957055214724,0.539325842696629,"GO:0006413","GO:BP","translational initiation",15979,2437,"c(""GO:0006412"", ""GO:0044237"")",NA
"46","lavenderblush3",TRUE,1.2734094293611e-39,176,1630,90,0.0552147239263804,0.511363636363636,"GO:0019083","GO:BP","viral transcription",15979,6495,"c(""GO:0016032"", ""GO:0019080"")",NA
"47","lavenderblush3",TRUE,1.72145071746038e-39,184,1630,92,0.056441717791411,0.5,"GO:0006612","GO:BP","protein targeting to membrane",15979,2618,"c(""GO:0006605"", ""GO:0090150"")",NA
"48","lavenderblush3",TRUE,3.75892783493978e-39,193,1630,94,0.0576687116564417,0.487046632124352,"GO:0019080","GO:BP","viral gene expression",15979,6492,"GO:0016032",NA
"49","lavenderblush3",TRUE,4.60317735633682e-35,356,1630,126,0.0773006134969325,0.353932584269663,"GO:0006402","GO:BP","mRNA catabolic process",15979,2427,"c(""GO:0006401"", ""GO:0010629"", ""GO:0016071"")",NA
"50","lavenderblush3",TRUE,5.27066643535142e-33,464,1630,144,0.0883435582822086,0.310344827586207,"GO:0016032","GO:BP","viral process",15979,5689,"GO:0044403",NA
"51","lavenderblush3",TRUE,8.90329257093198e-32,390,1630,128,0.0785276073619632,0.328205128205128,"GO:0006605","GO:BP","protein targeting",15979,2611,"GO:0006886",NA
"52","lavenderblush3",TRUE,4.09632287944103e-31,497,1630,147,0.0901840490797546,0.295774647887324,"GO:0072594","GO:BP","establishment of protein localization to organelle",15979,20657,"c(""GO:0033365"", ""GO:0045184"")",NA
"53","lavenderblush3",TRUE,6.13740703102449e-31,206,1630,88,0.0539877300613497,0.427184466019417,"GO:0000956","GO:BP","nuclear-transcribed mRNA catabolic process",15979,338,"GO:0006402",NA
"54","lavenderblush3",TRUE,6.34151654445932e-31,521,1630,151,0.092638036809816,0.289827255278311,"GO:0044403","GO:BP","symbiotic process",15979,12901,"GO:0044419",NA
"55","lavenderblush3",TRUE,1.73732415236084e-30,395,1630,127,0.0779141104294478,0.321518987341772,"GO:0006401","GO:BP","RNA catabolic process",15979,2426,"c(""GO:0016070"", ""GO:0034655"", ""GO:0044265"")",NA
"56","lavenderblush3",TRUE,1.0345447181558e-28,302,1630,106,0.0650306748466258,0.350993377483444,"GO:0090150","GO:BP","establishment of protein localization to membrane",15979,21511,"c(""GO:0045184"", ""GO:0072657"")",NA
"57","lavenderblush3",TRUE,1.00434605398606e-27,1037,1630,228,0.139877300613497,0.219864995178399,"GO:0006886","GO:BP","intracellular protein transport",15979,2863,"c(""GO:0015031"", ""GO:0034613"", ""GO:0046907"")",NA
"58","lavenderblush3",TRUE,5.6559624909459e-27,768,1630,185,0.113496932515337,0.240885416666667,"GO:0016071","GO:BP","mRNA metabolic process",15979,5718,"GO:0016070",NA
"59","lavenderblush3",TRUE,2.23870492005577e-25,1608,1630,303,0.185889570552147,0.188432835820896,"GO:0046907","GO:BP","intracellular transport",15979,14653,"c(""GO:0006810"", ""GO:0051641"", ""GO:0051649"")",NA
"60","lavenderblush3",TRUE,7.366230667414e-25,502,1630,137,0.0840490797546012,0.272908366533865,"GO:0034655","GO:BP","nucleobase-containing compound catabolic process",15979,10079,"c(""GO:0006139"", ""GO:0019439"", ""GO:0044270"", ""GO:0046700"", ""GO:1901361"")",NA
"61","lavenderblush3",TRUE,2.52069117561082e-24,543,1630,143,0.0877300613496932,0.263351749539595,"GO:0046700","GO:BP","heterocycle catabolic process",15979,14516,"c(""GO:0044248"", ""GO:0046483"")",NA
"62","lavenderblush3",TRUE,1.26724964048268e-23,545,1630,142,0.0871165644171779,0.260550458715596,"GO:0044270","GO:BP","cellular nitrogen compound catabolic process",15979,12833,"c(""GO:0034641"", ""GO:0044248"")",NA
"63","lavenderblush3",TRUE,1.27581535692555e-23,557,1630,144,0.0883435582822086,0.258527827648115,"GO:0019439","GO:BP","aromatic compound catabolic process",15979,6730,"c(""GO:0006725"", ""GO:0044248"")",NA
"64","lavenderblush3",TRUE,1.70147391332867e-23,816,1630,185,0.113496932515337,0.22671568627451,"GO:0033365","GO:BP","protein localization to organelle",15979,9468,"GO:0034613",NA
