"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","IC"
"1","antiquewhite4",TRUE,0.0202526634549591,11093,286,217,0.758741258741259,0.0195618858739746,"GO:0043229","GO:CC","intracellular organelle",16963,2151,"c(""GO:0005622"", ""GO:0043226"")",NA
"2","antiquewhite4",TRUE,0.0381134460003598,9588,286,192,0.671328671328671,0.0200250312891114,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16963,2153,"c(""GO:0043227"", ""GO:0043229"")",NA
"3","antiquewhite4",TRUE,0.039337969323398,12231,286,233,0.814685314685315,0.019049955032295,"GO:0043226","GO:CC","organelle",16963,2148,"GO:0110165",NA
"4","antiquewhite4",TRUE,0.0431462410893029,12994,286,244,0.853146853146853,0.0187778974911498,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"5","bisque4",TRUE,0.0451928464626746,6,49,2,0.0408163265306122,0.333333333333333,"KEGG:00750","KEGG","Vitamin B6 metabolism",7747,120,"KEGG:00000",NA
"6","brown",TRUE,0.000725074478127993,12994,257,226,0.879377431906615,0.0173926427581961,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"7","brown",TRUE,0.0187867423042941,4723,257,100,0.389105058365759,0.0211729832733432,"GO:0032991","GO:CC","protein-containing complex",16963,1590,"GO:0005575",NA
"8","brown",TRUE,0.038194466253625,11572,245,200,0.816326530612245,0.0172830971310059,"GO:0005515","GO:MF","protein binding",16268,1897,"GO:0005488",NA
"9","coral1",TRUE,0.0210748538648986,2685,189,51,0.26984126984127,0.0189944134078212,"GO:0031090","GO:CC","organelle membrane",16963,1236,"c(""GO:0016020"", ""GO:0043227"")",NA
"10","coral2",TRUE,0.0137011127273634,21,36,3,0.0833333333333333,0.142857142857143,"REAC:R-HSA-9008059","REAC","Interleukin-37 signaling",10588,1124,"REAC:R-HSA-446652",NA
"11","cyan",TRUE,0.0469891745976621,15,193,4,0.0207253886010363,0.266666666666667,"GO:0090069","GO:BP","regulation of ribosome biogenesis",15979,21436,"c(""GO:0042254"", ""GO:0044087"")",NA
"12","cyan",TRUE,0.0243657022771318,9588,207,144,0.695652173913043,0.0150187734668335,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16963,2153,"c(""GO:0043227"", ""GO:0043229"")",NA
"13","cyan",TRUE,0.0420382111027129,12994,207,180,0.869565217391304,0.0138525473295367,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"14","darkgreen",TRUE,0.0043055802259389,11093,257,199,0.77431906614786,0.0179392409627693,"GO:0043229","GO:CC","intracellular organelle",16963,2151,"c(""GO:0005622"", ""GO:0043226"")",NA
"15","darkgreen",TRUE,0.00734895680952199,12994,257,223,0.867704280155642,0.0171617669693705,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"16","darkgreen",TRUE,0.0168318740333157,12231,257,212,0.824902723735409,0.0173330062954787,"GO:0043226","GO:CC","organelle",16963,2148,"GO:0110165",NA
"17","darkolivegreen",TRUE,0.00874316490109007,464,234,21,0.0897435897435897,0.0452586206896552,"GO:0016032","GO:BP","viral process",15979,5689,"GO:0044403",NA
"18","darkolivegreen",TRUE,0.0155604855061142,521,234,22,0.094017094017094,0.0422264875239923,"GO:0044403","GO:BP","symbiotic process",15979,12901,"GO:0044419",NA
"19","darkolivegreen",TRUE,0.00347389978853349,4723,248,100,0.403225806451613,0.0211729832733432,"GO:0032991","GO:CC","protein-containing complex",16963,1590,"GO:0005575",NA
"20","darkolivegreen",TRUE,0.00557511728088737,12994,248,216,0.870967741935484,0.0166230567954441,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"21","darkolivegreen",TRUE,0.020393569952629,11093,248,190,0.766129032258065,0.0171279185071667,"GO:0043229","GO:CC","intracellular organelle",16963,2151,"c(""GO:0005622"", ""GO:0043226"")",NA
"22","darkolivegreen",TRUE,0.0209750972492411,5682,248,112,0.451612903225806,0.0197113692361844,"GO:0031974","GO:CC","membrane-enclosed lumen",16963,1466,"GO:0110165",NA
"23","darkolivegreen",TRUE,0.0209750972492411,5682,248,112,0.451612903225806,0.0197113692361844,"GO:0070013","GO:CC","intracellular organelle lumen",16963,2747,"c(""GO:0043229"", ""GO:0043233"")",NA
"24","darkolivegreen",TRUE,0.0209750972492411,5682,248,112,0.451612903225806,0.0197113692361844,"GO:0043233","GO:CC","organelle lumen",16963,2155,"c(""GO:0031974"", ""GO:0043226"")",NA
"25","darkolivegreen",TRUE,0.0276146459160383,9588,248,169,0.681451612903226,0.0176261994159366,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16963,2153,"c(""GO:0043227"", ""GO:0043229"")",NA
"26","darkolivegreen",TRUE,0.0321441064994267,12231,248,204,0.82258064516129,0.0166789305862154,"GO:0043226","GO:CC","organelle",16963,2148,"GO:0110165",NA
"27","darkolivegreen",TRUE,0.0454918738976642,4639,248,94,0.379032258064516,0.0202629877128692,"GO:0031981","GO:CC","nuclear lumen",16963,1472,"c(""GO:0005634"", ""GO:0070013"")",NA
"28","darkorange2",TRUE,0.0441164943718849,11093,220,169,0.768181818181818,0.0152348327774272,"GO:0043229","GO:CC","intracellular organelle",16963,2151,"c(""GO:0005622"", ""GO:0043226"")",NA
"29","darkorange2",TRUE,0.0451263282491044,12231,220,182,0.827272727272727,0.0148802223857411,"GO:0043226","GO:CC","organelle",16963,2148,"GO:0110165",NA
"30","darkorange2",TRUE,0.0285861762535141,68,106,6,0.0566037735849057,0.0882352941176471,"KEGG:05223","KEGG","Non-small cell lung cancer",7747,444,"KEGG:00000",NA
"31","darkorange2",TRUE,0.0309467617109944,161,106,9,0.0849056603773585,0.0559006211180124,"KEGG:05206","KEGG","MicroRNAs in cancer",7747,430,"KEGG:00000",NA
"32","darkorange2",TRUE,0.0387811846485831,166,106,9,0.0849056603773585,0.0542168674698795,"KEGG:04141","KEGG","Protein processing in endoplasmic reticulum",7747,256,"KEGG:00000",NA
"33","darkred",TRUE,0.00569249135706989,9588,288,197,0.684027777777778,0.020546516478932,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16963,2153,"c(""GO:0043227"", ""GO:0043229"")",NA
"34","darkturquoise",TRUE,0.000131226669682752,12994,298,262,0.879194630872483,0.0201631522241034,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"35","darkturquoise",TRUE,0.00516231219575283,11093,298,228,0.76510067114094,0.0205535022086,"GO:0043229","GO:CC","intracellular organelle",16963,2151,"c(""GO:0005622"", ""GO:0043226"")",NA
"36","darkturquoise",TRUE,0.00543891654310699,4723,298,116,0.389261744966443,0.0245606605970781,"GO:0032991","GO:CC","protein-containing complex",16963,1590,"GO:0005575",NA
"37","darkturquoise",TRUE,0.029323363719131,9588,298,200,0.671140939597315,0.0208594075928244,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16963,2153,"c(""GO:0043227"", ""GO:0043229"")",NA
"38","green",TRUE,0.0176178995986454,9588,282,191,0.677304964539007,0.0199207342511473,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16963,2153,"c(""GO:0043227"", ""GO:0043229"")",NA
"39","lightcyan",TRUE,3.13007469950978e-05,12994,278,247,0.888489208633094,0.0190087732799754,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"40","lightcyan",TRUE,7.98566562147692e-05,9937,278,203,0.73021582733813,0.0204287008151354,"GO:0005737","GO:CC","cytoplasm",16963,402,"c(""GO:0005622"", ""GO:0110165"")",NA
"41","lightcyan",TRUE,0.00134016819545505,4850,278,114,0.410071942446043,0.0235051546391753,"GO:0005829","GO:CC","cytosol",16963,487,"c(""GO:0005737"", ""GO:0110165"")",NA
"42","lightcyan1",TRUE,0.0117318479760106,76,52,5,0.0961538461538462,0.0657894736842105,"REAC:R-HSA-190236","REAC","Signaling by FGFR",10588,1960,"REAC:R-HSA-9006934",NA
"43","lightpink4",TRUE,0.00258468648603071,12994,129,118,0.914728682170543,0.00908111436047407,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"44","lightyellow",TRUE,0.004352861718038,12994,217,191,0.880184331797235,0.014699091888564,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
