"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","IC"
"1","brown",TRUE,0.000226708958344631,816,318,40,0.125786163522013,0.0490196078431373,"GO:0033365","GO:BP","protein localization to organelle",15979,9468,"GO:0034613",NA
"2","brown",TRUE,0.00106656276077325,3440,318,106,0.333333333333333,0.0308139534883721,"GO:0006996","GO:BP","organelle organization",15979,2954,"GO:0016043",NA
"3","brown",TRUE,0.00180150076779642,1676,318,62,0.19496855345912,0.0369928400954654,"GO:0034613","GO:BP","cellular protein localization",15979,10050,"c(""GO:0008104"", ""GO:0070727"")",NA
"4","brown",TRUE,0.00220201194183267,1686,318,62,0.19496855345912,0.036773428232503,"GO:0070727","GO:BP","cellular macromolecule localization",15979,19296,"c(""GO:0033036"", ""GO:0051641"")",NA
"5","brown",TRUE,0.013275432460337,497,318,26,0.0817610062893082,0.0523138832997988,"GO:0072594","GO:BP","establishment of protein localization to organelle",15979,20657,"c(""GO:0033365"", ""GO:0045184"")",NA
"6","brown",TRUE,0.0155520976516285,1037,318,42,0.132075471698113,0.0405014464802314,"GO:0006886","GO:BP","intracellular protein transport",15979,2863,"c(""GO:0015031"", ""GO:0034613"", ""GO:0046907"")",NA
"7","brown",TRUE,0.0168396629805541,2277,318,74,0.232704402515723,0.0324989020641195,"GO:0008104","GO:BP","protein localization",15979,3564,"GO:0033036",NA
"8","brown",TRUE,0.0282842750322797,1667,318,58,0.182389937106918,0.0347930413917217,"GO:0045184","GO:BP","establishment of protein localization",15979,13309,"c(""GO:0008104"", ""GO:0051234"")",NA
"9","brown",TRUE,0.0340799612165299,5588,318,147,0.462264150943396,0.0263063707945598,"GO:0071840","GO:BP","cellular component organization or biogenesis",15979,20037,"GO:0009987",NA
"10","brown",TRUE,0.0420193203195204,292,318,18,0.0566037735849057,0.0616438356164384,"GO:0006913","GO:BP","nucleocytoplasmic transport",15979,2887,"GO:0051169",NA
"11","brown",TRUE,0.0481284686904945,295,318,18,0.0566037735849057,0.0610169491525424,"GO:0051169","GO:BP","nuclear transport",15979,15888,"GO:0046907",NA
"12","brown",TRUE,1.90881757103163e-06,9588,346,247,0.713872832369942,0.0257613683771381,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16963,2153,"c(""GO:0043227"", ""GO:0043229"")",NA
"13","brown",TRUE,0.00010035840521633,12994,346,302,0.872832369942196,0.0232414960751116,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"14","brown",TRUE,0.000223377200156465,11333,346,272,0.786127167630058,0.0240007059031148,"GO:0043227","GO:CC","membrane-bounded organelle",16963,2149,"GO:0043226",NA
"15","brown",TRUE,0.00111627573862679,6463,346,173,0.5,0.0267677549125793,"GO:0005634","GO:CC","nucleus",16963,310,"GO:0043231",NA
"16","brown",TRUE,0.0011270566643881,3932,346,117,0.338150289017341,0.0297558494404883,"GO:0005654","GO:CC","nucleoplasm",16963,327,"c(""GO:0031981"", ""GO:0110165"")",NA
"17","brown",TRUE,0.00189362966196887,11093,346,264,0.763005780346821,0.0237987920310105,"GO:0043229","GO:CC","intracellular organelle",16963,2151,"c(""GO:0005622"", ""GO:0043226"")",NA
"18","brown",TRUE,0.00275401157363336,12231,346,284,0.820809248554913,0.0232196876788488,"GO:0043226","GO:CC","organelle",16963,2148,"GO:0110165",NA
"19","brown",TRUE,0.00324786821233664,4723,346,133,0.384393063583815,0.0281600677535465,"GO:0032991","GO:CC","protein-containing complex",16963,1590,"GO:0005575",NA
"20","brown",TRUE,0.00442543831074142,757,346,34,0.0982658959537572,0.0449141347424042,"GO:1990234","GO:CC","transferase complex",16963,4201,"GO:1902494",NA
"21","brown",TRUE,0.024283719762091,4639,346,127,0.367052023121387,0.0273765897822807,"GO:0031981","GO:CC","nuclear lumen",16963,1472,"c(""GO:0005634"", ""GO:0070013"")",NA
