"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","IC"
"1","antiquewhite4",TRUE,0.0142387869676445,2,115,2,0.0173913043478261,1,"GO:0042587","GO:CC","glycogen granule",16963,2067,"c(""GO:0005737"", ""GO:0110165"")",NA
"2","antiquewhite4",TRUE,0.0150435579702778,11,115,3,0.0260869565217391,0.272727272727273,"GO:0005583","GO:CC","fibrillar collagen trimer",16963,262,"c(""GO:0005581"", ""GO:0098643"")",NA
"3","antiquewhite4",TRUE,0.0150435579702778,11,115,3,0.0260869565217391,0.272727272727273,"GO:0098643","GO:CC","banded collagen fibril",16963,3626,"c(""GO:0098644"", ""GO:0099512"")",NA
"4","antiquewhite4",TRUE,0.0380396385925668,12,117,3,0.0256410256410256,0.25,"GO:0048407","GO:MF","platelet-derived growth factor binding",16268,8467,"GO:0019838",NA
"5","black",TRUE,0.00191135671970325,666,43,11,0.255813953488372,0.0165165165165165,"GO:0043069","GO:BP","negative regulation of programmed cell death",15979,12249,"c(""GO:0012501"", ""GO:0043067"", ""GO:0060548"")",NA
"6","black",TRUE,0.00474181751874247,731,43,11,0.255813953488372,0.0150478796169631,"GO:0060548","GO:BP","negative regulation of cell death",15979,17575,"c(""GO:0008219"", ""GO:0010941"", ""GO:0048523"")",NA
"7","black",TRUE,0.00727141394117974,12,43,3,0.0697674418604651,0.25,"GO:0045662","GO:BP","negative regulation of myoblast differentiation",15979,13603,"c(""GO:0045445"", ""GO:0045596"", ""GO:0045661"")",NA
"8","black",TRUE,0.0116873887506876,647,43,10,0.232558139534884,0.0154559505409583,"GO:0043066","GO:BP","negative regulation of apoptotic process",15979,12246,"c(""GO:0006915"", ""GO:0042981"", ""GO:0043069"")",NA
"9","brown2",TRUE,0.0498491066888291,3,136,2,0.0147058823529412,0.666666666666667,"GO:0000814","GO:CC","ESCRT II complex",16963,139,"c(""GO:0010008"", ""GO:0036452"", ""GO:0098796"")",NA
"10","brown4",TRUE,0.000376674100322886,47,43,5,0.116279069767442,0.106382978723404,"REAC:R-HSA-73762","REAC","RNA Polymerase I Transcription Initiation",10588,1681,"REAC:R-HSA-73854",NA
"11","brown4",TRUE,0.019930313169625,105,43,5,0.116279069767442,0.0476190476190476,"REAC:R-HSA-5250913","REAC","Positive epigenetic regulation of rRNA expression",10588,1592,"REAC:R-HSA-212165",NA
"12","brown4",TRUE,0.0248864993804876,110,43,5,0.116279069767442,0.0454545454545455,"REAC:R-HSA-73854","REAC","RNA Polymerase I Promoter Clearance",10588,1677,"REAC:R-HSA-73864",NA
"13","brown4",TRUE,0.0259824845986162,111,43,5,0.116279069767442,0.045045045045045,"REAC:R-HSA-73864","REAC","RNA Polymerase I Transcription",10588,1680,"REAC:R-HSA-74160",NA
"14","coral1",TRUE,0.0339168115425503,7,274,3,0.0109489051094891,0.428571428571429,"GO:0043083","GO:CC","synaptic cleft",16963,2127,"c(""GO:0005576"", ""GO:0045202"")",NA
"15","coral1",TRUE,0.0454689509139764,12994,274,234,0.854014598540146,0.0180083115283977,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"16","coral1",TRUE,0.0078825705178839,11572,273,224,0.82051282051282,0.0193570687867266,"GO:0005515","GO:MF","protein binding",16268,1897,"GO:0005488",NA
"17","coral1",TRUE,0.0285527563093397,39,122,5,0.040983606557377,0.128205128205128,"KEGG:00513","KEGG","Various types of N-glycan biosynthesis",7747,70,"KEGG:00000",NA
"18","coral2",TRUE,8.86484427148138e-06,12994,213,194,0.910798122065728,0.0149299676773896,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"19","coral2",TRUE,0.000143046525396137,12231,213,184,0.863849765258216,0.015043741313057,"GO:0043226","GO:CC","organelle",16963,2148,"GO:0110165",NA
"20","coral2",TRUE,0.000589808976441012,11333,213,173,0.812206572769953,0.0152651548574958,"GO:0043227","GO:CC","membrane-bounded organelle",16963,2149,"GO:0043226",NA
"21","coral2",TRUE,0.000806080349589221,11093,213,170,0.7981220657277,0.0153249797169386,"GO:0043229","GO:CC","intracellular organelle",16963,2151,"c(""GO:0005622"", ""GO:0043226"")",NA
"22","coral2",TRUE,0.00598371715047173,9588,213,150,0.704225352112676,0.0156445556946183,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16963,2153,"c(""GO:0043227"", ""GO:0043229"")",NA
"23","coral2",TRUE,0.0429014726406212,4850,213,86,0.403755868544601,0.0177319587628866,"GO:0005829","GO:CC","cytosol",16963,487,"c(""GO:0005737"", ""GO:0110165"")",NA
"24","coral2",TRUE,0.0362318605322102,1965,217,46,0.211981566820276,0.0234096692111959,"GO:0043167","GO:MF","ion binding",16268,6831,"GO:0005488",NA
"25","coral2",TRUE,0.0479882510439832,50,104,5,0.0480769230769231,0.1,"KEGG:04340","KEGG","Hedgehog signaling pathway",7747,279,"KEGG:00000",NA
"26","cyan",TRUE,0.0129817021243865,197,48,7,0.145833333333333,0.0355329949238579,"KEGG:05169","KEGG","Epstein-Barr virus infection",7747,423,"KEGG:00000",NA
"27","cyan",TRUE,0.0270594301184155,102,48,5,0.104166666666667,0.0490196078431373,"KEGG:04064","KEGG","NF-kappa B signaling pathway",7747,234,"KEGG:00000",NA
"28","darkgreen",TRUE,0.0487747894115162,8,131,3,0.0229007633587786,0.375,"GO:0060368","GO:BP","regulation of Fc receptor mediated stimulatory signaling pathway",15979,17402,"c(""GO:0002431"", ""GO:0009966"", ""GO:0050776"")",NA
"29","darkmagenta",TRUE,0.0420535075600143,96,88,5,0.0568181818181818,0.0520833333333333,"GO:0030660","GO:CC","Golgi-associated vesicle membrane",16963,1138,"c(""GO:0005798"", ""GO:0098588"", ""GO:0098805"")",NA
"30","darkolivegreen",TRUE,2.4344851571754e-05,11093,187,155,0.828877005347594,0.0139727756242676,"GO:0043229","GO:CC","intracellular organelle",16963,2151,"c(""GO:0005622"", ""GO:0043226"")",NA
"31","darkolivegreen",TRUE,0.00018752602436854,12231,187,163,0.871657754010695,0.0133267925762407,"GO:0043226","GO:CC","organelle",16963,2148,"GO:0110165",NA
"32","darkolivegreen",TRUE,0.000804512615390938,12994,187,168,0.898395721925134,0.0129290441742343,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"33","darkolivegreen",TRUE,0.0042781068829507,9588,187,134,0.716577540106952,0.0139758030871923,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16963,2153,"c(""GO:0043227"", ""GO:0043229"")",NA
"34","darkolivegreen",TRUE,0.00513386867180175,11333,187,151,0.807486631016043,0.0133239212918027,"GO:0043227","GO:CC","membrane-bounded organelle",16963,2149,"GO:0043226",NA
"35","darkolivegreen",TRUE,0.0300743069538012,8,121,3,0.0247933884297521,0.375,"REAC:R-HSA-8853334","REAC","Signaling by FGFR3 fusions in cancer",10588,1971,"REAC:R-HSA-5655332",NA
"36","darkorange",TRUE,0.0285673465054547,93,52,5,0.0961538461538462,0.0537634408602151,"KEGG:04350","KEGG","TGF-beta signaling pathway",7747,281,"KEGG:00000",NA
"37","darkorange2",TRUE,0.0138475101098048,2,65,2,0.0307692307692308,1,"REAC:R-HSA-3858516","REAC","Glycogen storage disease type 0 (liver GYS2)",10588,952,"REAC:R-HSA-3229121",NA
"38","darkorange2",TRUE,0.0413777101637395,3,65,2,0.0307692307692308,0.666666666666667,"REAC:R-HSA-3878781","REAC","Glycogen storage disease type IV (GBE1)",10588,955,"REAC:R-HSA-3229121",NA
"39","darkseagreen4",TRUE,2.68598189873739e-05,12994,181,166,0.917127071823204,0.0127751269816839,"GO:0005622","GO:CC","intracellular",16963,299,"GO:0005575",NA
"40","darkseagreen4",TRUE,0.00478658413794134,9588,181,130,0.718232044198895,0.0135586149353358,"GO:0043231","GO:CC","intracellular membrane-bounded organelle",16963,2153,"c(""GO:0043227"", ""GO:0043229"")",NA
"41","darkseagreen4",TRUE,0.0249312487736545,9937,181,131,0.723756906077348,0.0131830532353829,"GO:0005737","GO:CC","cytoplasm",16963,402,"c(""GO:0005622"", ""GO:0110165"")",NA
"42","darkseagreen4",TRUE,0.0280700965168681,11093,181,142,0.784530386740331,0.0128008654106193,"GO:0043229","GO:CC","intracellular organelle",16963,2151,"c(""GO:0005622"", ""GO:0043226"")",NA
"43","darkseagreen4",TRUE,0.0249980179408304,1903,183,40,0.218579234972678,0.0210194429847609,"GO:0019899","GO:MF","enzyme binding",16268,4655,"GO:0005515",NA
