"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","IC"
"1","bisque4",TRUE,0.0383946052938248,89,61,5,0.0819672131147541,0.0561797752808989,"GO:0071357","GO:BP","cellular response to type I interferon",15979,19664,"c(""GO:0034340"", ""GO:0071345"")",NA
"2","bisque4",TRUE,0.0383946052938248,89,61,5,0.0819672131147541,0.0561797752808989,"GO:0060337","GO:BP","type I interferon signaling pathway",15979,17373,"c(""GO:0019221"", ""GO:0071357"")",NA
"3","bisque4",TRUE,0.0475157388957037,93,61,5,0.0819672131147541,0.0537634408602151,"GO:0034340","GO:BP","response to type I interferon",15979,9921,"c(""GO:0034097"", ""GO:0045087"")",NA
"4","bisque4",TRUE,0.00216766533017902,329,63,9,0.142857142857143,0.027355623100304,"GO:0032559","GO:MF","adenyl ribonucleotide binding",16268,5454,"c(""GO:0030554"", ""GO:0032555"")",NA
"5","bisque4",TRUE,0.00269761426673376,338,63,9,0.142857142857143,0.0266272189349112,"GO:0030554","GO:MF","adenyl nucleotide binding",16268,4924,"GO:0017076",NA
"6","bisque4",TRUE,0.00300984604383653,541,63,11,0.174603174603175,0.0203327171903882,"GO:0017076","GO:MF","purine nucleotide binding",16268,3991,"GO:0000166",NA
"7","bisque4",TRUE,0.00637482464958769,285,63,8,0.126984126984127,0.0280701754385965,"GO:0005524","GO:MF","ATP binding",16268,1906,"c(""GO:0032559"", ""GO:0035639"")",NA
"8","bisque4",TRUE,0.0155381289199628,529,63,10,0.158730158730159,0.0189035916824197,"GO:0032555","GO:MF","purine ribonucleotide binding",16268,5450,"c(""GO:0017076"", ""GO:0032553"")",NA
"9","bisque4",TRUE,0.0182114526600164,539,63,10,0.158730158730159,0.0185528756957328,"GO:0032553","GO:MF","ribonucleotide binding",16268,5448,"c(""GO:0000166"", ""GO:0097367"")",NA
"10","bisque4",TRUE,0.0208347772704352,3,63,2,0.0317460317460317,0.666666666666667,"GO:0001730","GO:MF","2'-5'-oligoadenylate synthetase activity",16268,323,"GO:0070566",NA
"11","bisque4",TRUE,0.0257537894371842,682,63,11,0.174603174603175,0.0161290322580645,"GO:0000166","GO:MF","nucleotide binding",16268,35,"c(""GO:0036094"", ""GO:1901265"")",NA
"12","bisque4",TRUE,0.0260969193374117,683,63,11,0.174603174603175,0.0161054172767204,"GO:1901265","GO:MF","nucleoside phosphate binding",16268,11867,"c(""GO:0097159"", ""GO:1901363"")",NA
"13","bisque4",TRUE,0.030731395863416,961,63,13,0.206349206349206,0.0135275754422477,"GO:0036094","GO:MF","small molecule binding",16268,6439,"GO:0005488",NA
"14","bisque4",TRUE,0.0351163402087566,468,63,9,0.142857142857143,0.0192307692307692,"GO:0035639","GO:MF","purine ribonucleoside triphosphate binding",16268,6392,"c(""GO:0043168"", ""GO:1901265"")",NA
"15","bisque4",TRUE,0.00148619129094194,67,39,5,0.128205128205128,0.0746268656716418,"REAC:R-HSA-909733","REAC","Interferon alpha/beta signaling",10588,1102,"REAC:R-HSA-913531",NA
"16","bisque4",TRUE,0.0227920670340366,192,39,6,0.153846153846154,0.03125,"REAC:R-HSA-913531","REAC","Interferon Signaling",10588,1101,"REAC:R-HSA-1280215",NA
"17","blue",TRUE,0.0307269690269749,79,228,8,0.0350877192982456,0.10126582278481,"GO:1900034","GO:BP","regulation of cellular response to heat",15979,23534,"c(""GO:0034605"", ""GO:0080135"")",NA
"18","blue",TRUE,0.00433999953148124,12231,239,200,0.836820083682008,0.0163518927315837,"GO:0043226","GO:CC","organelle",16963,2148,"GO:0110165",NA
"19","blue",TRUE,0.0282587510641315,11093,239,183,0.765690376569038,0.0164968899305869,"GO:0043229","GO:CC","intracellular organelle",16963,2151,"c(""GO:0005622"", ""GO:0043226"")",NA
